q00000001_00: Resolutions and Omens                                                    | 覚悟と兆し
q40000223_00: An Unfortunate Guide                                                     | ミスリウ危険ガイド
q40000224_00: That's Enough!                                                           | ああ、もうまたかよ！！
q40000225_00: Extermination                                                            | 退治依頼
q40000226_00: Forces United                                                            | 共闘依頼
q40000227_00: Clad in Blood                                                            | 血を纏う者
q40000228_00: White Wings: Cooperation (Mysree Forest)                                 | 白翼覚者隊・協力要請　ミスリウ森林
q40000229_00: White Wings: Elimination (Mysree Forest)                                 | 白翼覚者隊・討伐任務　ミスリウ森林
q40000230_00: Area Order: Pawn Cathedral Outskirts Demon Extermination                 | ＜エリアオーダー＞ポーン郷近郊魔物征伐
q40000231_00: Crafting Woes                                                            | クラフトお悩み相談
q40000232_00: An Item Search                                                           | 効率的アイテム収集
q40000233_00: For a Practice                                                           | 修練の材具
q40000234_00: A Convenient Blessing                                                    | 有用なる恵み
q40000235_00: Low on Supplies                                                          | 物資不足
q40000236_00: Healing Assistance                                                       | 癒しの助けを
q40000237_00: Mysree Materials Request                                                 | ミスリウ名産品の入手依頼
q40000238_00: White Wings: Collection (Mysree Forest)                                  | 白翼覚者隊・収集依頼　ミスリウ森林
q40000239_00: White Wings: Delivery (Mysree Forest)                                    | 白翼覚者隊・納品依頼　ミスリウ森林
q40000240_00: Area Order: Pawn Cathedral Resupply                                      | ＜エリアオーダー＞ポーン郷補給
q40000241_00: Imminent Threat                                                          | すぐそこにいる敵
q40000242_00: Look Out for Alchemised                                                 | 錬魔注意報告
q40000243_00: A Pitiful Puppet                                                         | 哀れな傀儡
q40000244_00: The Source of the Noise                                                  | ノイズの原因
q40000245_00: A Fearsome Puppet                                                        | 恐るべき傀儡
q40000246_00: Beware the Alchemised                                                    | 錬魔警戒警報
q40000247_00: A Menace Remains                                                         | 遺された脅威
q40000248_00: Exterminate Them                                                         | 排除すべき者
q40000249_00: Alchemised Soldiers                                                      | 錬魔の兵
q40000250_00: Area Order: Mergoda Demon Extermination                                  | ＜エリアオーダー＞メルゴダ魔物征伐
q40000251_00: Potion Raw Materials                                                     | 水薬の原料
q40000252_00: Limited Mergoda                                                          | 限られたメルゴダ
q40000253_00: Taking Full Advantage                                                    | 最大限有効利用する
q40000254_00: Essence Extraction                                                       | エッセンス抽出を
q40000255_00: Lost Secret                                                              | 失われし秘物
q40000256_00: Mergan Provisions                                                        | メルガンの糧
q40000257_00: Have Supplies Ready                                                      | 調達しておけよ
q40000258_00: Supplementing Resources                                                  | 資源の増補
q40000259_00: Mediating Training                                                       | 錬成の媒介
q40000260_00: Area Order: Mergoda Resupply                                             | ＜エリアオーダー＞メルゴダ補給
q40000261_00: Best to Reduce Their Numbers                                             | 減らした方がいいね
q40000262_00: To the Hunt                                                              | 狩っておくよ
q40000263_00: Be Wary                                                                  | 注意して
q40000264_00: Shall We Strike First?                                                   | 先手を打とうか
q40000265_00: To Be Taken Care Of                                                      | あれはどうにかしないと
q40000266_00: A Clean Sweep                                                            | 掃除の敵
q40000267_00: Caution When Outdoors                                                    | 外出時の用心
q40000268_00: Perilous Retreat                                                         | 庵の危険
q40000269_00: A Trial                                                                  | 力試しをしてみないかな
q40000270_00: Area Order: Deenan Demon Extermination                                   | ＜エリアオーダー＞ディナン魔物征伐
q40000271_00: Need More, Quick!                                                        | そろそろ追加がいるかも
q40000272_00: A Humble Request                                                         | あったらでいいわ
q40000273_00: Won't You Get This for Me?                                               | 確保しといてくれない？
q40000274_00: You Have It, I'll Take It                                                | 見つけたら必ず入手よ
q40000275_00: To Be Self-Sufficient                                                    | 自給自足の心得
q40000276_00: Reproducing Elven Medicine                                               | エルフの薬再現
q40000277_00: Reproducing Elven Weapons                                                | エルフの武具再現
q40000278_00: Reproducing Elven Tools                                                  | エルフの道具再現
q40000279_00: A Mysterious Treasure                                                    | 神秘の宝庫
q40000280_00: Area Order: Deenan Resupply                                              | ＜エリアオーダー＞ディナン収集
q40000281_00: Scoundrels                                                               | うるさき者
q40000282_00: A Wide Berth                                                             | 忌避すべき者
q40000283_00: Come No Closer                                                           | 近寄るべからざる者
q40000284_00: No Trespassers!!!                                                        | 禁域の小物共めッ！！！
q40000285_00: Zandora Enemy Investigation                                              | ザンドラ魔物戦闘検分
q40000286_00: Investigate Wasteland Creatures                                          | 禁域生物の調査依頼
q40000287_00: A Trial                                                                  | 力試しをしてみないかな
q40000288_00: Message for Wasteland Explorers: Enemy Encounters                        | 禁域探訪者への連絡：敵遭遇に関して
q40000289_00: Directions for Wasteland Explorers: Enemy Encounters                     | 禁域探訪者への指示：敵遭遇に関して
q40000290_00: Area Order: Zandora Demon Extermination                                  | ＜エリアオーダー＞ザンドラ魔物征伐
q40000291_00: Hoping for This                                                          | あると良い物
q40000292_00: Of Great Interest                                                        | 興味深き物
q40000293_00: Deserving Close Inspection                                               | 大いに調べ究明すべき物
q40000294_00: An Epicure Seeks Spices                                                  | 美食家のスパイス探し
q40000295_00: For a Friend with Unusual Tastes                                         | 相当のモノ好き仲間へ
q40000296_00: A Favor to Ask                                                           | お願いがございます
q40000297_00: May I Ask A Favor?                                                       | 頼まれてくれるかい？
q40000298_00: Message for Wasteland Explorers: About Finds                             | 禁域探訪者への連絡：取得物に関して
q40000299_00: Directions for Wasteland Explorers: About Finds                          | 禁域探訪者への指示：取得物に関して
q40000300_00: Area Order: Zandora Resupply                                             | ＜エリアオーダー＞ザンドラ補給
q40200001_00: Teach Them a Lesson                                                      | こらしめてやってください
q40200002_00: For Clean Bedsheets                                                      | 清潔なベッドシーツのため
q40200003_00: Set Off By a Robbery                                                     | 火種泥棒
q40200004_00: Flower's Revenge                                                         | 花の敵討ち
q40200005_00: Securing Transport Routes                                                | 物資運搬路の安全確保
q40200006_00: Investigating Bloodbane Isle Wildlife Activities                         | 魔赤島生物の行動調査
q40200007_00: Half of the Crowd                                                        | 群れの半数
q40200008_00: Cooperate with Subjugation                                               | 討伐協力依頼
q40200009_00: To Maintain a Clean Environment                                          | 衛生環境の維持のため
q40200010_00: Area Order: Bloodbane Isle Demon Extermination                           | ＜エリアオーダー＞魔赤島魔物征伐
q40200011_00: Investigating Medicine's Effects                                         | 薬効検証のため
q40200012_00: Supplies for a Souvenir                                                  | 土産の材料
q40200013_00: A Bath After Work                                                        | 仕事終わりの一風呂
q40200014_00: Where Is It                                                              | どこにあるんだ
q40200015_00: Back Alley Market Demand                                                 | 裏マーケット需要
q40200016_00: Wanting to Help Investigate                                              | 調査を手伝いたくて
q40200017_00: For the Bloodbane Isle Scouts With Strange Tastes                        | 魔赤島調査隊のモノ好き仲間へ
q40200018_00: My Thanks                                                                | 礼はするって話だぜ
q40200019_00: Bloodbane Isle Delicacy                                                  | 魔赤島の珍味
q40200020_00: Area Order: Bloodbane Isle Resupply                                      | ＜エリアオーダー＞魔赤島補給
q40200021_00: For A Quiet Rest                                                         | 静かな休息時間のため
q40200022_00: Teeth Marks on the Calf                                                  | 歯型付きのふくらはぎ
q40200023_00: A Run-In on the Path                                                     | 散歩道での遭遇
q40200024_00: I Could Use a Hand Sometimes                                             | たまには手伝ってほしい
q40200025_00: Pang of Conscience                                                       | 良心の呵責
q40200026_00: Preparing for Major Cleanup                                              | 大掃除の準備
q40200027_00: Cause of My Back Pain                                                    | 腰痛の原因
q40200028_00: We All Need Rest                                                         | 息抜きも必要
q40200029_00: Efforts Shall Not Go to Waste                                            | 努力を無にしたくない
q40200030_00: Area Order: Bloodbane Isle Demon Extermination                           | ＜エリアオーダー＞魔赤島魔物征伐
q40200031_00: Self-Sufficiency for Health                                              | 自給自足も健康のため
q40200032_00: If There's Any Left Over                                                 | 余っていたらでいい
q40200033_00: Just This Once                                                           | 今回は仕方ねぇな
q40200034_00: The Sample is Just as Reported                                           | 報告に添えるサンプル分
q40200035_00: Substitute for a Poultice                                                | 湿布の代用品
q40200036_00: Buyback Prices Up                                                        | 買い取り強化中
q40200037_00: Fun at Bloodbane Isle                                                    | 魔赤島での楽しみ
q40200038_00: An Addictive Flavor                                                      | クセになる味
q40200039_00: Please Procure This Privately                                            | 内密に調達してほしい
q40200040_00: Area Order: Bloodbane Isle Resupply                                      | ＜エリアオーダー＞魔赤島補給
q40200041_00: A Warning to Travelers                                                   | 旅人たちへの注意勧告
q40200042_00: The Laundry Thief                                                        | 洗濯物泥棒
q40200043_00: I've Been Wondering                                                      | ちょっと気になってさ
q40200044_00: Driven From Their Homes                                                  | 住まいを追われて
q40200045_00: Springing Out From the Shade of a Tree                                   | 木陰から飛び出すもの
q40200046_00: The Wounded Demon                                                        | 手負いの魔物
q40200047_00: An Unsettled Gaze                                                        | 不穏な視線
q40200048_00: Punishment for Ransacking Books                                          | 書物荒らしを懲らしめて
q40200049_00: Rumors on the Wind                                                       | 風の噂で
q40200050_00: Area Order: Elan Demon Extermination                                     | ＜エリアオーダー＞エラン魔物征伐
q40200051_00: A Shopping List for Next Time                                            | 次回買い物メモ
q40200052_00: Specially Made Equipment                                                 | 特製の装具
q40200053_00: I Don't Want to Cause Trouble                                            | 困らせたくないのに
q40200054_00: The Hermitage's Refurbished Goods                                        | 庵の修理品
q40200055_00: A Trap for Hunting Deer                                                  | 鹿狩りの罠
q40200056_00: Smoke to Enhance the Flavor                                              | 燻製の隠し味
q40200057_00: Polish Into Beads                                                        | 磨いてビーズに
q40200058_00: A New Prototype                                                          | 新たな試作物
q40200059_00: Agreed Too Quickly                                                       | 安請け合いしたみたい
q40200060_00: Area Order: Elan Resupply                                                | ＜エリアオーダー＞エラン補給
q40200061_00: Today's Record                                                           | 本日の記録
q40200062_00: Precautionary Extermination                                              | 万が一のための駆除
q40200063_00: Protect the Food Warehouse!                                              | 食糧庫を守れ！
q40200064_00: Hindering Restock                                                        | 仕入れの邪魔者
q40200065_00: Hindering Food Procurement                                               | 食材調達の邪魔者
q40200066_00: Expectations Unmet                                                       | 思惑が外れて
q40200067_00: The Little Watchman                                                      | 小さな監視人
q40200068_00: The Veteran's Claim                                                      | 古兵の主張
q40200069_00: Why the Deer Are Fewer                                                   | 鹿が減った理由
q40200070_00: Area Order: Farana Demon Extermination                                   | ＜エリアオーダー＞ファーラナ魔物征伐
q40200071_00: An Errand While You're Here                                              | ついでのおつかい
q40200072_00: A Losing Streak                                                          | 負けが込んでな
q40200073_00: A Girl's Inquisitive Mind                                                | 少女の探究心
q40200074_00: In Search of Delicious Liquor                                            | 美味し酒を求めて
q40200075_00: We Don't Handle Those Goods                                              | 取扱いの無い品
q40200076_00: A Sudden Need                                                            | 突然の入り用
q40200077_00: Preparing for a Trip                                                     | 遠出準備
q40200078_00: It Flew Off the Shelves                                                  | すぐに棚が空になってね
q40200079_00: Demon-Warding Incense                                                    | 魔物避けのお香
q40200080_00: Area Order: Farana Resupply                                              | ＜エリアオーダー＞ファーラナ補給
q40200081_00: Researching Each Day's Exhaustion                                        | 毎日の疲労度調査
q40200082_00: Afraid to Walk Alone                                                     | 一人歩きの不安
q40200083_00: Blood of the Clamoring Beasts                                            | 騒ぐ野生の血
q40200084_00: They're After the Crops                                                  | 畑の実りを狙う輩
q40200085_00: The Usual Subjugation Efforts                                            | 日頃の討伐努力
q40200086_00: A Detestable Herb Thief                                                  | 憎きハーブ泥棒
q40200087_00: Ensure the Children's Safety                                             | 子供たちの安全確保
q40200088_00: Reawakened Memories                                                      | よみがえる記憶
q40200089_00: Prayer for Everyone's Safety                                             | みんなの無事を祈って
q40200090_00: Area Order: Morrow Demon Extermination                                   | ＜エリアオーダー＞モロー魔物征伐
q40200091_00: Perfect Inventory Management                                             | 在庫管理は万全に
q40200092_00: The Overworked Watchman                                                  | 多忙な見張り番
q40200093_00: Shadows of That Damned Lot                                               | 見るのも嫌なヤツらの影
q40200094_00: Is It Bug Repellent?                                                     | 虫寄らずの――？
q40200095_00: Before the Balm Runs Out                                                 | 香油が切れる前に
q40200096_00: The Secret Pet                                                           | 秘密のペット
q40200097_00: A Request for You                                                        | アナタにお願い
q40200098_00: The Traveler's Souvenirs                                                 | 旅人の土産物
q40200099_00: Not Fit for a Field                                                      | 畑にならないアレ
q40200100_00: Area Order: Morrow Resupply                                              | ＜エリアオーダー＞モロー補給
q40200101_00: The Material to Persuade Mama                                            | ママの説得材料
q40200102_00: If Only I Had a Weapon                                                   | 武器さえ持っていれば――
q40200103_00: A Soldier's Intuition                                                    | 戦士の直感
q40200104_00: Watch Over the Village Yourselves                                        | 村の警戒は自分たちで
q40200105_00: A Secret Place for Picking Herbs                                         | ハーブ採取の穴場
q40200106_00: Some Kind of Curse?                                                      | 何かの呪い？
q40200107_00: A Small Matter to Settle                                                 | 軽い片付け事
q40200108_00: What Attacked the Cows                                                   | 牛を襲ったのは
q40200109_00: The Gate Is the Face of the Village                                      | 門は村の顔
q40200110_00: Area Order: Kingal Demon Extermination                                   | ＜エリアオーダー＞キンガル魔物征伐
q40200111_00: Just Want to Play                                                        | 遊んでみたいだけ
q40200112_00: A Substitute for Fishing Bait                                            | 釣り餌の代替品
q40200113_00: A Unique Firestarter Recipe                                              | 独自の火種レシピ
q40200114_00: Base for Tomorrow's Milk                                                 | 明日のミルクの素
q40200115_00: Everyone's Favorite Meat Pies!                                           | みんな大好きミートパイ！
q40200116_00: Even If It's For Harvesting                                              | 採取のためであっても
q40200117_00: The Gourmet Livestock                                                    | グルメな家畜たち
q40200118_00: Repair Materials for the Wall                                            | 壁の補修材
q40200119_00: The State of Shenna's Kitchen                                            | シェナのキッチン事情
q40200120_00: Area Order: Kingal Resupply                                              | ＜エリアオーダー＞キンガル補給
q40200121_00: To A Strong Person                                                       | 強いヒトへ
q40200122_00: Scare Them Off                                                           | やつらを怖がらせてやれ
q40200123_00: Loitering Footsteps                                                      | うろつく足音
q40200124_00: No More Being Scared                                                     | 怖いの、なくそう
q40200125_00: So Scary I Can't Sleep                                                   | 怖くて眠れナイ
q40200126_00: Those Monsters Will Be Back                                              | きっとまた来る魔物
q40200127_00: This Rare Settlement                                                     | この稀有なる集落
q40200128_00: I'll Pay Up                                                              | ちゃんと支払う
q40200129_00: Gazing with Goggling Eyes                                                | ギョロギョロ覗いてた
q40200130_00: Area Order: Manun Demon Extermination                                    | ＜エリアオーダー＞マヌン魔物征伐
q40200131_00: Darin's Request                                                          | ダリンのお願い
q40200132_00: The Guard is Busy                                                        | 見張り番は忙しい
q40200133_00: Huff's Secret Field                                                      | ハフの秘密の畑
q40200134_00: For Oncoming Age                                                         | 寄る年波には
q40200135_00: A Trap to Protect the Village                                            | 集落を守る罠作り
q40200136_00: Vora's Mean Trick                                                        | ヴォーラのいじわる
q40200137_00: Recent Favorites                                                         | 最近のお気に入り
q40200138_00: Unique Repair Materials                                                  | 独自の修理材
q40200139_00: Where Did That Bag Go?                                                   | ここにあった袋は？
q40200140_00: Area Order: Manun Resupply                                               | ＜エリアオーダー＞マヌン補給
q40200141_00: Tell Me What You Said Just Now                                           | 今の話を聞かせて
q40200142_00: A Clamor That Reaches the Tower                                          | 塔にまで響く騒ぎ声
q40200143_00: Reason for the Reduced Harvest                                           | 収穫量減少の訳
q40200144_00: A Broken Basket                                                          | 壊された籠
q40200145_00: Worried for the Young Ones                                               | 若者の身を案じて
q40200146_00: Commotion in the Tower                                                   | さざめく塔内
q40200147_00: Ensuring Safety if Nothing Else                                          | せめてもの安全確保
q40200148_00: An Elder's Monologue                                                     | 長老の独り言
q40200149_00: A Briefing to Capture the Tower?                                         | 塔攻略の打ち合わせ？
q40200150_00: Area Order: Tower of Ivanos Outskirts Demon Extermination                | ＜エリアオーダー＞イヴァノスの塔近郊魔物征伐
q40200151_00: Materials Brought Back from Afar                                         | 遠路持ち帰った資材
q40200152_00: A Message Postponed                                                      | 後回しの伝言
q40200153_00: A Trickster's Proposal                                                   | いたずら者の提案
q40200154_00: Carrying One's Provisions                                                | 調達時の携行品
q40200155_00: Transaction Strategies                                                   | 取引上の戦略
q40200156_00: Scrubbed Tiles                                                           | 磨かれしタイル
q40200157_00: An Optimist's Proposal                                                   | 楽天家の提案
q40200158_00: Scrimping and Saving                                                     | 節約を重ねて
q40200159_00: Anxious Hoarding                                                         | 心もとない蓄え
q40200160_00: Area Order: Tower of Ivanos Resupply                                     | ＜エリアオーダー＞イヴァノスの塔補給
q40201001_00: Periodic Request: Hidell Plains - Subjugation for Public Order           | 【週期要請】ハイデル平原：治安維持討伐
q40201002_00: Periodic Request: Hidell Plains - Supply Provision                       | 【週期要請】ハイデル平原：物資供給
q40201003_00: Periodic Request: Breya Coast - Subjugation for Public Order             | 【週期要請】ブリア海岸：治安維持討伐
q40201004_00: Periodic Request: Breya Coast - Supply Provision                         | 【週期要請】ブリア海岸：物資供給
q40201005_00: Periodic Request: Mysree Forest - Subjugation for Public Order           | 【週期要請】ミスリウ森林：治安維持討伐
q40201006_00: Periodic Request: Mysree Forest - Supply Provision                       | 【週期要請】ミスリウ森林：物資供給
q40201007_00: Periodic Request: Volden Mines - Subjugation for Public Order            | 【週期要請】ボルド鉱山：治安維持討伐
q40201008_00: Periodic Request: Volden Mines - Supply Provision                        | 【週期要請】ボルド鉱山：物資供給
q40201009_00: Periodic Request: Mysree Grove - Subjugation for Public Order            | 【週期要請】ミスリウ森林深部：治安維持討伐
q40201010_00: Periodic Request: Mysree Grove - Supply Provision                        | 【週期要請】ミスリウ森林深部：物資供給
q40201011_00: Periodic Request: Betland Plains - Subjugation for Public Order          | 【週期要請】バートランド平原：治安維持討伐
q40201012_00: Periodic Request: Betland Plains - Supply Provision                      | 【週期要請】バートランド平原：物資供給
q40201013_00: Periodic Request: Dowe Valley - Subjugation for Public Order             | 【週期要請】ダウ渓谷：治安維持討伐
q40201014_00: Periodic Request: Dowe Valley - Supply Provision                         | 【週期要請】ダウ渓谷：物資供給
q40201015_00: Periodic Request: Deenan Woods - Subjugation for Public Order            | 【週期要請】ディナン深層林：治安維持討伐
q40201016_00: Periodic Request: Deenan Woods - Supply Provision                        | 【週期要請】ディナン深層林：物資供給
q40201017_00: Periodic Request: Northern Betland Plains - Subjugation for Public Order | 【週期要請】バートランド平原北部：治安維持討伐
q40201018_00: Periodic Request: Northern Betland Plains - Supply Provision             | 【週期要請】バートランド平原北部：物資供給
q40201019_00: Periodic Request: Eastern Zandora - Subjugation for Public Order         | 【週期要請】ザンドラ東部：治安維持討伐
q40201020_00: Periodic Request: Eastern Zandora - Supply Provision                     | 【週期要請】ザンドラ東部：物資供給
q40201021_00: Periodic Request: Zandora Wastelands - Subjugation for Public Order      | 【週期要請】ザンドラ禁域：治安維持討伐
q40201022_00: Periodic Request: Zandora Wastelands - Supply Provision                  | 【週期要請】ザンドラ禁域：物資供給
q40201023_00: Periodic Request: Mergoda Ruins - Subjugation for Public Order           | 【週期要請】亡都メルゴダ：治安維持討伐
q40201024_00: Periodic Request: Mergoda Ruins - Supply Provision                       | 【週期要請】亡都メルゴダ：物資供給
q40201025_00: Periodic Request: Bloodbane Isle I - Area Investigation & Subjugation    | 【週期要請】魔赤島①：定点調査討伐
q40201026_00: Periodic Request: Bloodbane Isle I - Supply Provision                    | 【週期要請】魔赤島①：物資供給
q40201027_00: Periodic Request: Bloodbane Isle II - Area Investigation & Subjugation   | 【週期要請】魔赤島②：定点調査討伐
q40201028_00: Periodic Request: Bloodbane Isle II - Supply Provision                   | 【週期要請】魔赤島②：物資供給
q40201039_00: Weekly: Long-Term Demon Subjugation - Tel Village                        | ＜ウィークリー＞長期魔物討伐：テル村
q40201040_00: Weekly: Supply Provision - Tel Village                                   | ＜ウィークリー＞物資供給：テル村
q40201041_00: Periodic Request: Mysree Forest (Lynwood) - Subjugation for Public Order | 【週期要請】ミスリウ森林（リンウッド）：治安維持討伐
q40201042_00: Periodic Request: Mysree Forest (Lynwood) - Supply Provision             | 【週期要請】ミスリウ森林（リンウッド）：物資供給
q40201043_00: Periodic Request: Volden Mines (Hobolic) - Subjugation for Public Order  | 【週期要請】ボルド鉱山（ホボリック）：治安維持討伐
q40201044_00: Periodic Request: Volden Mines (Hobolic) - Supply Provision              | 【週期要請】ボルド鉱山（ホボリック）：物資供給
q40201045_00: Weekly: Long-Term Demon Subjugation - Tel Village                        | ＜ウィークリー＞長期魔物討伐：テル村
q40201046_00: Weekly: Supply Provision - Tel Village                                   | ＜ウィークリー＞物資供給：テル村
q40201047_00: Weekly: Long-Term Demon Subjugation - Tel Village                        | ＜ウィークリー＞長期魔物討伐：テル村
q40201048_00: Weekly: Supply Provision - Tel Village                                   | ＜ウィークリー＞物資供給：テル村
q40300001_00: Out of Arrows and Frustrated                                             | 失意の矢不足
q40300002_00: Security at the Little Hidden Village                                    | 小さな隠れ村の警備事情
q40300003_00: Take It Easy on the Lightweights                                         | 小物への牽制を頼む
q40300004_00: A Journey with the Children                                              | 子連れの道中
q40300005_00: It Just Bothers Me                                                       | とにかく気になるんだよ
q40300006_00: Why I Dropped the Ointment                                               | 傷薬を落とした理由
q40300007_00: Unease Under the Bonfire                                                 | 篝火の下の不安
q40300008_00: A Very Important Matter                                                  | とても大切な用事
q40300009_00: Vengeance for the Wounded Soldiers                                       | 負傷兵の仇討ち
q40300010_00: Area Order: Those Without Swords                                         | ＜エリアオーダー＞剣持たぬ人々を
q40300011_00: Supplies for the Little Hidden Village                                   | 小さな隠れ村の物資事情
q40300012_00: At This Rate I'll Go Broke                                               | このままじゃ食い詰めちまう
q40300013_00: A Broken Axe                                                             | へし折れた斧
q40300014_00: Repair Supplies for the Carriage                                         | 馬車の修繕材料
q40300015_00: My Shopping Bag Grows Lighter                                            | 軽くなった手提げ袋
q40300016_00: To Support the Journey                                                   | 旅路の支えに
q40300017_00: A Worried Posture                                                        | 気がかりな背中
q40300018_00: The Cure for My Wife                                                     | 家内の治療に必要なもの
q40300019_00: The Minimum Needed to Protect Yourself                                   | 身を守る最低限の手入れ
q40300020_00: Area Order: Those Who Rely on This Place                                 | ＜エリアオーダー＞ここを拠り所とする人々を
q40300021_00: It Gets Cold at Night                                                    | 夜は冷えるからな
q40300022_00: Curiosity, the Root of Misfortune?                                       | 好奇心は災いの元？
q40300023_00: Can't Stand By Idly                                                      | 何かせずにはいられないのさ
q40300024_00: An Innocent Request                                                      | いたいけな依頼
q40300025_00: Invigorating Activity                                                    | 爽やかな活躍
q40300026_00: Betting on a Comeback                                                    | 再起を懸けた双葉
q40300027_00: The Weak-Willed Hunter's Advice                                          | 弱腰狩人の忠告
q40300028_00: Uniting to Preserve the Status Quo                                       | 現状維持のための協力
q40300029_00: Waiting By an Open Door                                                  | 扉開きて待つ日々
q40300030_00: Area Order: Sleep that Brings Comfort                                    | ＜エリアオーダー＞癒しを齎す眠り
q40300031_00: Start With Steadily Collecting Materials                                 | 地道に材料集めから
q40300032_00: Searching Over Vast Distances                                            | 探し求めて一千里
q40300033_00: Living from Hand to Mouth                                                | 糊口をしのぐ日々
q40300034_00: Materials for Out of Stock Goods                                         | 品切れ品の素材
q40300035_00: A Trifling and Great Dilemma                                             | 些細で大きな悩み
q40300036_00: Disaster on the Way Home                                                 | 帰路での災難
q40300037_00: A Secret Pleasure                                                        | 秘密の楽しみ
q40300038_00: I'll Buy From You!                                                       | 買取りいたします！
q40300039_00: Impatient Eyes                                                           | 待ち焦がれる瞳
q40300040_00: Area Order: May It Reach Those Who Need It                               | ＜エリアオーダー＞求める人へ行き渡るよう
q40300041_00: A Cautionary Note from Ross                                              | ロスからの注意書き
q40300042_00: Letter Left by a Traveler                                                | 旅人の置き手紙
q40300043_00: A Cautionary Note from Yuri                                              | ユーリからの注意書き
q40300044_00: Protect the Caravan's Goods                                              | 商隊の荷物を守れ
q40300045_00: A Glimpse of My Hometown                                                 | 故郷を一目
q40300046_00: Please Tell Doris                                                        | ドリスに伝えてくれ
q40300047_00: A Note in Scrawled Handwriting                                           | 乱れた筆跡のメモ
q40300048_00: To All in Eli Guard Tower                                                | エリ警備塔の皆さまへ――
q40300049_00: The Bodyguard's Urgent Mission                                           | 護衛兵の急務
q40300050_00: Area Order: Eli Guard Tower Demon Extermination                          | ＜エリアオーダー＞エリ警備塔魔物征伐
q40300051_00: If This Is The Place                                                     | 拠点であるならば
q40300052_00: Preparing to Protect the Commoners                                       | 一般人の保護に備え
q40300053_00: Collecting Ingredients for Ointment                                      | 膏薬の材料集め
q40300054_00: Enduring Daily Pains                                                     | 日々の痛みに耐え
q40300055_00: Repairing the Provided Beds                                              | 備え付けの寝台修理
q40300056_00: A Request for Next Time You Drop By                                      | 次回立ち寄り時の依頼
q40300057_00: Note from a Traveling Stranger                                           | 見知らぬ旅人のメモ
q40300058_00: Letter Left by the Departing Soldier                                     | 出発した兵士の置き手紙
q40300059_00: Days Spent in Hiding                                                     | 隠れ潜む日々で
q40300060_00: Area Order: Eli Guard Tower Resupply                                     | ＜エリアオーダー＞エリ警備塔補給
q40300061_00: A Small-Time Provocation?                                                | 小物なりの挑発？
q40300062_00: A Fresh Harvest Someday                                                  | いつの日か採れたてを
q40300063_00: The Kind Sister's Gaze                                                   | 心優しき姉の目線
q40300064_00: Dealing With the Wounded                                                 | 手負いの後始末
q40300065_00: Journey to the Great City                                                | 大都市への道のり
q40300066_00: Challenge from a Lively Youth                                            | 勇む若者からの挑戦状
q40300067_00: Holding Materials                                                        | 素材を抱えて
q40300068_00: The Wise Elder's Seed of Worry                                           | 老賢者の心配の種
q40300069_00: Rumors of the Gravely Wounded Person                                     | あの大ケガ人の噂
q40300070_00: Area Order: Fortress City Megado Demon Extermination                     | ＜エリアオーダー＞城塞都市メガド魔物征伐
q40300071_00: A Small Hand Living Tomorrow                                             | 明日を生きる小さな手
q40300072_00: Request from a Friend                                                    | 友人からの頼まれごと
q40300073_00: A Sweet and Strong Bowman                                                | 可憐な強射手
q40300074_00: New Megado's Menu of Specialties                                         | 新・メガドの名物メニュー
q40300075_00: Strive to Be Stylish                                                     | お洒落は挑戦
q40300076_00: Abandoned House on the Outskirts and Good Intentions                     | 外れの空き家と小さな善意
q40300077_00: Do I Need a Reason to Ask For Help?                                      | 依頼に理由が必要か？
q40300078_00: The Blacksmith's Fancy                                                   | 鍛冶屋の思いつき
q40300079_00: A Wagon Accident                                                         | 荷馬車の事故
q40300080_00: Area Order: Fortress City Megado Resupply                                | ＜エリアオーダー＞城塞都市メガド補給
q40300090_00: Special Mission                                                          | スペシャル任務
q40300091_00:                                                                          | 無限課金討伐2
q40300092_00:                                                                          | 無限課金討伐3
q40300093_00:                                                                          | 無限課金討伐4
q40300094_00:                                                                          | 無限課金討伐5
q40300095_00:                                                                          | 無限課金討伐6
q40300096_00:                                                                          | 無限課金討伐7
q40300097_00:                                                                          | 無限課金討伐8
q40300098_00:                                                                          | 無限課金討伐9
q40300099_00:                                                                          | 無限課金討伐10
q40300100_00: Secretly Sharing Information                                             | 密な情報共有
q40300101_00: Did Someone Make a Blunder?                                              | 誰かヘマしたのか？
q40300102_00: An Exhausted Request to Steal Trees                                      | 疲労困憊の盗伐依頼
q40300103_00: Safety at the Temporary Hideout                                          | 仮初のアジト、その安全
q40300104_00: I'd Like to Quash the Whole Nest                                         | 巣ごと潰したいよな
q40300105_00: The Bandits' Game                                                        | 盗賊たちのゲーム
q40300106_00: The Young Woman's Efforts                                                | 若き紅一点の努力
q40300107_00: The Familiar Hunter's Misfortune                                         | 馴染みの狩人の不幸
q40300108_00: Crisis at the Northern Bandit Hideout                                    | 北の盗賊アジト、危機
q40300109_00: Area Order: Northern Bandit Hideout Demon Extermination                  | ＜エリアオーダー＞北の盗賊のアジト魔物征伐
q40300110_00: Flower Blooming in the Hideout                                           | 隠れアジトに咲く花
