"2","q21000083_00_363","<NAME AREA>にいる何者かが、魔物との勝負で
腕試しをしているようだ","<NAME AREA>にいる何者かが、魔物との勝負で
腕試しをしているようだ","ui\00_message\quest_info\q21000083_00.gmd","\quest\q21000083.arc","q21000083.arc","2"
"0","0","あぁ、退治してきてくれたんだね
本当にありがとう――これできっと
エンナが夜、ぐずることもなくなるよ","あぁ、退治してきてくれたんだね
本当にありがとう――これできっと
エンナが夜、ぐずることもなくなるよ","ui\00_message\quest\q21014011.gmd","\quest\q21014011.arc","q21014011.arc","6"
"0","0","――魔物には可哀想なことをしたかねえ
あの子たちも――元いた場所へ帰って
あるべき形で暮らしていてくれるといいんだけどねぇ","――魔物には可哀想なことをしたかねえ
あの子たちも――元いた場所へ帰って
あるべき形で暮らしていてくれるといいんだけどねぇ","ui\00_message\quest\q21014011.gmd","\quest\q21014011.arc","q21014011.arc","7"
"0","0","相棒を探して！","Searching for a Partner!","ui\00_message\quest_info\q21014012_00.gmd","\quest\q21014012.arc","q21014012.arc","0"
"1","1","【迅速救助クエスト】
依頼者が求める人物を捜索し
迅速に救助する","【迅速救助クエスト】
依頼者が求める人物を捜索し
迅速に救助する","ui\00_message\quest_info\q21014012_00.gmd","\quest\q21014012.arc","q21014012.arc","1"
"2","2","何者かからの、迅速な救援を求める声が
<NAME AREA>から届いているようだ","何者かからの、迅速な救援を求める声が
<NAME AREA>から届いているようだ","ui\00_message\quest_info\q21014012_00.gmd","\quest\q21014012.arc","q21014012.arc","2"
"3","3","強そうな奴と出会うと
腕前を試したくて仕方ない――
そんな変わった奴が少し前からエランにいるが
さっき、困ったような顔をしていたぞ
そういえば、一人でいるのは初めて見たな","強そうな奴と出会うと
腕前を試したくて仕方ない――
そんな変わった奴が少し前からエランにいるが
さっき、困ったような顔をしていたぞ
そういえば、一人でいるのは初めて見たな","ui\00_message\quest_info\q21014012_00.gmd","\quest\q21014012.arc","q21014012.arc","3"
"4","4","依頼者の求める人物を捜索する","依頼者の求める人物を捜索する","ui\00_message\quest_info\q21014012_00.gmd","\quest\q21014012.arc","q21014012.arc","4"
"5","5","魔物を迅速に討伐し捜索対象を救助する","魔物を迅速に討伐し捜索対象を救助する","ui\00_message\quest_info\q21014012_00.gmd","\quest\q21014012.arc","q21014012.arc","5"
"6","6","捜索対象の安否を確認する","Check the search target's well-being","ui\00_message\quest_info\q21014012_00.gmd","\quest\q21014012.arc","q21014012.arc","6"
"7","7","依頼者に報告する","Report to the requester","ui\00_message\quest_info\q21014012_00.gmd","\quest\q21014012.arc","q21014012.arc","7"
"0","0","救出対象が魔物に襲われている――急ぎ鎮圧しなければ！","救出対象が魔物に襲われている――急ぎ鎮圧しなければ！","ui\00_message\examine_message\quest\quest_examine_q21014012.gmd","\quest\q21014012.arc","q21014012.arc","0"
"0","0","救出対象が怪我を負ってしまったようだ――","救出対象が怪我を負ってしまったようだ――","ui\00_message\examine_message\quest\quest_examine_q21014012.gmd","\quest\q21014012.arc","q21014012.arc","1"
"0","0","む――こんな危険な所に人が来るとは
ん？
その顔、どこかで見覚えが――","む――こんな危険な所に人が来るとは
ん？
その顔、どこかで見覚えが――","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","0"
"0","0","あぁ、お前はミューセルの！
思い出したぞ、あの時は世話になったな
まさか、助けに来てくれたというのか？
それは――ありがたいな","あぁ、お前はミューセルの！
思い出したぞ、あの時は世話になったな
まさか、助けに来てくれたというのか？
それは――ありがたいな","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","1"
"0","0","正直、長い間彷徨っていたもので
かなり消耗していたんだ
――！","正直、長い間彷徨っていたもので
かなり消耗していたんだ
――！","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","2"
"0","0","くそ、また敵襲だ！
あまり長くはもたない――さっさと片付けよう","くそ、また敵襲だ！
あまり長くはもたない――さっさと片付けよう","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","3"
"0","0","おお、見つけてくれたのか！
いやぁ助かった――
アイツ、カンカンだったんじゃないか？","おお、見つけてくれたのか！
いやぁ助かった――
アイツ、カンカンだったんじゃないか？","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","4"
"0","0","――へぇ、そんな殊勝なこと言ってたのか！
急にどうしちまったのかねぇ
ま、俺にとってはありがたいことだな","――へぇ、そんな殊勝なこと言ってたのか！
急にどうしちまったのかねぇ
ま、俺にとってはありがたいことだな","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","5"
"0","0","早速、手合せといきたいところだが
そんなところグリニスにみられたら
今度こそ刺されちまう！
礼はするから――手合せはまた今度頼むよ","早速、手合せといきたいところだが
そんなところグリニスにみられたら
今度こそ刺されちまう！
礼はするから――手合せはまた今度頼むよ","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","6"
"0","0","おお、見つけてくれたのか！
で――え？　動けないって？","おお、見つけてくれたのか！
で――え？　動けないって？","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","7"
"0","0","それで、一人で置いてきたのか――
まぁ、アイツらしいな","それで、一人で置いてきたのか――
まぁ、アイツらしいな","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","8"
"0","0","色々と助けてもらっちまって悪かった
手合せ――してる場合じゃないよな
礼はするよ、ありがとう","色々と助けてもらっちまって悪かった
手合せ――してる場合じゃないよな
礼はするよ、ありがとう","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","9"
"0","0","おや、あんたが噂に聞いた
他の国から来た覚者様、だな！
なるほど、確かに強そうだ――
聖域の魔物を倒したと言っても、不思議ではない","おや、あんたが噂に聞いた
他の国から来た覚者様、だな！
なるほど、確かに強そうだ――
聖域の魔物を倒したと言っても、不思議ではない","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","10"
"0","0","俺は、サリヴァン――己の鍛錬のため
各地を旅して修練を重ねてきたんだ
今は訳あって、この森に留まっているが
腕前にも、正直自信がある！","俺は、サリヴァン――己の鍛錬のため
各地を旅して修練を重ねてきたんだ
今は訳あって、この森に留まっているが
腕前にも、正直自信がある！","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","11"
"0","0","どうだ、一度手合せしてくれないか――
と本来なら言いたいところだったんだが
実は、共に旅をしていた相棒が行方不明なんだ","どうだ、一度手合せしてくれないか――
と本来なら言いたいところだったんだが
実は、共に旅をしていた相棒が行方不明なんだ","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","12"
"0","0","確か、《<STG 815>》まで一緒にいたのは
覚えてるんだが、その後の記憶が曖昧で――
もしかしたら、まだ中にいるのかもしれない
アンタ、探すのを手伝ってくれないか？","確か、《<STG 815>》まで一緒にいたのは
覚えてるんだが、その後の記憶が曖昧で――
もしかしたら、まだ中にいるのかもしれない
アンタ、探すのを手伝ってくれないか？","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","13"
"0","0","もし見つけたら、できるだけ早く
安全を確保してやってくれ
長いこと戦って疲れているだろうから――
あいつが倒れる前に、急いで助けてくれよ！","もし見つけたら、できるだけ早く
安全を確保してやってくれ
長いこと戦って疲れているだろうから――
あいつが倒れる前に、急いで助けてくれよ！","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","14"
"0","0","手合せの前に、行方不明の相棒を探してきてくれ！
確か、《<STG 815>》まで一緒にいたのは
覚えてる――まだ中にいるのかもしれない","手合せの前に、行方不明の相棒を探してきてくれ！
確か、《<STG 815>》まで一緒にいたのは
覚えてる――まだ中にいるのかもしれない","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","15"
"0","0","俺が行きたいのは山々なんだが――
正直、一人で辿り着いて出られる自信が無い
すまないが、探してきてくれないか？","俺が行きたいのは山々なんだが――
正直、一人で辿り着いて出られる自信が無い
すまないが、探してきてくれないか？","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","16"
"0","0","足手まといには――
ならないようにするさ","足手まといには――
ならないようにするさ","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","17"
"0","0","これほど手強いとは――
だが、私はまだ大丈夫だ","これほど手強いとは――
だが、私はまだ大丈夫だ","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","18"
"0","0","くっ――すまない
もう槍を握れそうにない―― ","くっ――すまない
もう槍を握れそうにない―― ","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","19"
"0","0","これで命を助けられたのは二度目だな
本当に感謝している――ありがとう
ところで、なぜ貴殿が助けに？","これで命を助けられたのは二度目だな
本当に感謝している――ありがとう
ところで、なぜ貴殿が助けに？","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","20"
"0","0","なに、サリヴァンが？
先にエランに帰ったというのか！？
――いや、過ぎたことを言っても仕方ない
少なくとも、奴一人で来なかったのは正解だ","なに、サリヴァンが？
先にエランに帰ったというのか！？
――いや、過ぎたことを言っても仕方ない
少なくとも、奴一人で来なかったのは正解だ","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","21"
"0","0","とにかく――助太刀には感謝する
森の復興のために、と思って
無茶をしてしまったが――
もう少し慎重に行動せねばいけないな","とにかく――助太刀には感謝する
森の復興のために、と思って
無茶をしてしまったが――
もう少し慎重に行動せねばいけないな","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","22"
"0","0","くっ――情けない
こんな無様な姿を晒すとは――","くっ――情けない
こんな無様な姿を晒すとは――","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","23"
"0","0","なに――サリヴァンが助けをよこしたって？
あいつめ、遅いんだよ――","なに――サリヴァンが助けをよこしたって？
あいつめ、遅いんだよ――","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","24"
"0","0","ともかく、助太刀に感謝する
が――
少し無茶をしすぎたようだ
すぐには動けそうもない","ともかく、助太刀に感謝する
が――
少し無茶をしすぎたようだ
すぐには動けそうもない","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","25"
"0","0","私はここで、少し休んでいく――
なに、動けるようになれば自分で帰るよ
すまないが、アイツにそう伝えておいてくれないか","私はここで、少し休んでいく――
なに、動けるようになれば自分で帰るよ
すまないが、アイツにそう伝えておいてくれないか","ui\00_message\quest\q21014012.gmd","\quest\q21014012.arc","q21014012.arc","26"
"0","0","覚者隊の失態","覚者隊の失態","ui\00_message\quest_info\q21014013_00.gmd","\quest\q21014013.arc","q21014013.arc","0"
"1","1","【迅速救助クエスト】
依頼者が求める人物を捜索し
迅速に救助する","【迅速救助クエスト】
依頼者が求める人物を捜索し
迅速に救助する","ui\00_message\quest_info\q21014013_00.gmd","\quest\q21014013.arc","q21014013.arc","1"
"2","2","何者かからの、迅速な救援を求める声が
<NAME AREA>から届いているようだ","何者かからの、迅速な救援を求める声が
<NAME AREA>から届いているようだ","ui\00_message\quest_info\q21014013_00.gmd","\quest\q21014013.arc","q21014013.arc","2"
"3","3","新たな大陸の調査任務、それもわかるんだが
俺たちだっていきなり知らない土地で
知らない魔物と戦うには心の準備ってもんが――
ま、神殿のお偉いさん方にはとてもこんなこと
言えないけどな","新たな大陸の調査任務、それもわかるんだが
俺たちだっていきなり知らない土地で
知らない魔物と戦うには心の準備ってもんが――
ま、神殿のお偉いさん方にはとてもこんなこと
言えないけどな","ui\00_message\quest_info\q21014013_00.gmd","\quest\q21014013.arc","q21014013.arc","3"
"4","4","依頼者の求める人物を捜索する","依頼者の求める人物を捜索する","ui\00_message\quest_info\q21014013_00.gmd","\quest\q21014013.arc","q21014013.arc","4"
"5","5","魔物を迅速に討伐し捜索対象を救助する","魔物を迅速に討伐し捜索対象を救助する","ui\00_message\quest_info\q21014013_00.gmd","\quest\q21014013.arc","q21014013.arc","5"
"6","6","捜索対象の安否を確認する","Check the search target's well-being","ui\00_message\quest_info\q21014013_00.gmd","\quest\q21014013.arc","q21014013.arc","6"
"7","7","依頼者に報告する","Report to the requester","ui\00_message\quest_info\q21014013_00.gmd","\quest\q21014013.arc","q21014013.arc","7"
"0","0","救出対象が怪我を負ってしまったようだ――","救出対象が怪我を負ってしまったようだ――","ui\00_message\examine_message\quest\quest_examine_q21014013.gmd","\quest\q21014013.arc","q21014013.arc","0"
"0","0","救出対象が魔物に襲われている――急ぎ鎮圧しなければ！","救出対象が魔物に襲われている――急ぎ鎮圧しなければ！","ui\00_message\examine_message\quest\quest_examine_q21014013.gmd","\quest\q21014013.arc","q21014013.arc","1"
"0","0","うわぁ！　――あ、人間か
いえ――ここは魔物だらけなもので
正面から挑んでも勝てないと思い
なんとか隠れながらここまで来たんです","うわぁ！　――あ、人間か
いえ――ここは魔物だらけなもので
正面から挑んでも勝てないと思い
なんとか隠れながらここまで来たんです","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","0"
"0","0","正直、精根尽き果てて今にも倒れそうでした――
強そうな方に会えて、本当に良かった
今魔物に襲われたら、もう長くは
戦えそうにありません","正直、精根尽き果てて今にも倒れそうでした――
強そうな方に会えて、本当に良かった
今魔物に襲われたら、もう長くは
戦えそうにありません","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","1"
"0","0","――あぁ、魔物だ！
い、一緒に戦ってくれますよね？","――あぁ、魔物だ！
い、一緒に戦ってくれますよね？","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","2"
"0","0","相棒が無事に見つかって戻ってきました！
これから共に本隊と合流します","相棒が無事に見つかって戻ってきました！
これから共に本隊と合流します","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","3"
"0","0","隊の仲間たちには大目玉をくらうでしょうが――
なに、相棒が無事に帰ってきたんだ
それくらいは大したことないですよね！
――ええ、本当に大したことないです、はい","隊の仲間たちには大目玉をくらうでしょうが――
なに、相棒が無事に帰ってきたんだ
それくらいは大したことないですよね！
――ええ、本当に大したことないです、はい","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","4"
"0","0","いやぁ、こんなおっかない土地
さっさと調査を終えて国に帰りたいです
――あ、いや、その、今のは聞かなかったことに","いやぁ、こんなおっかない土地
さっさと調査を終えて国に帰りたいです
――あ、いや、その、今のは聞かなかったことに","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","5"
"0","0","あ、相棒は！　相棒はいましたか？
えっ、動けなくなっている？
そ――それで、あいつは無事なんですか？","あ、相棒は！　相棒はいましたか？
えっ、動けなくなっている？
そ――それで、あいつは無事なんですか？","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","6"
"0","0","――そうですか
いや、命が無事ならまずは安心です
調査隊の本隊には
自分から事情を説明しておききます","――そうですか
いや、命が無事ならまずは安心です
調査隊の本隊には
自分から事情を説明しておききます","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","7"
"0","0","怒られるかな、怒られるよな――
いや、あいつの命が無事なだけでも感謝せねば
そうですよね、うん","怒られるかな、怒られるよな――
いや、あいつの命が無事なだけでも感謝せねば
そうですよね、うん","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","8"
"0","0","は！　これは、まさかこんな所でお会いするとは
へ？　じ、自分ですか
いえ、あの、実は――大変申し上げにくいのですが","は！　これは、まさかこんな所でお会いするとは
へ？　じ、自分ですか
いえ、あの、実は――大変申し上げにくいのですが","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","9"
"0","0","一緒にこの土地を調査していた相棒が
《<STG 814>》の近くで
行方が分からなくなってしまったのです","一緒にこの土地を調査していた相棒が
《<STG 814>》の近くで
行方が分からなくなってしまったのです","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","10"
"0","0","あいつを探しているうちに、自分まで迷子――
あ、いえ、何と言いますか
つまり、大変、困っておりまして","あいつを探しているうちに、自分まで迷子――
あ、いえ、何と言いますか
つまり、大変、困っておりまして","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","11"
"0","0","あなたが協力してくだされば百人力です
どうか、あいつを探し出して
一刻も早く助けてやってください","あなたが協力してくだされば百人力です
どうか、あいつを探し出して
一刻も早く助けてやってください","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","12"
"0","0","もしあいつを見つけたら、一刻も早く安全を
確保してやってください
気の良いヤツなのですが、腕の方は
あんまりなので――","もしあいつを見つけたら、一刻も早く安全を
確保してやってください
気の良いヤツなのですが、腕の方は
あんまりなので――","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","13"
"0","0","相棒は《<STG 814>》の近くで
行方がわからなくなってしまいました
もし中で迷っているとしたら
魔物に襲われるのも、時間の問題――","相棒は《<STG 814>》の近くで
行方がわからなくなってしまいました
もし中で迷っているとしたら
魔物に襲われるのも、時間の問題――","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","14"
"0","0","あぁ、どうしよう――
どうか、あいつを一刻も早く
探し出していただけないでしょうか","あぁ、どうしよう――
どうか、あいつを一刻も早く
探し出していただけないでしょうか","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","15"
"0","0","武器を握る手も震えそうです――！","武器を握る手も震えそうです――！","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","16"
"0","0","いたた――
ま、まだ立っていることはできます","いたた――
ま、まだ立っていることはできます","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","17"
"0","0","も、もうダメだぁ
覚者隊、失格ですね――","も、もうダメだぁ
覚者隊、失格ですね――","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","18"
"0","0","ふぅ、助けていただき感謝します
ところで、あなたは――
――あ！　まさか、ジョゼフ様の？
ど、どうしてここに――","ふぅ、助けていただき感謝します
ところで、あなたは――
――あ！　まさか、ジョゼフ様の？
ど、どうしてここに――","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","19"
"0","0","――なるほど、探しに来てくださったのですか！
いやはや、覚者隊の一員としてお恥ずかしい姿を
お見せしました――
命を救われたお礼は、必ずさせていただきます！","――なるほど、探しに来てくださったのですか！
いやはや、覚者隊の一員としてお恥ずかしい姿を
お見せしました――
命を救われたお礼は、必ずさせていただきます！","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","20"
"0","0","それでは、急いで相棒のところに戻ります
本隊とも合流しなければ――
今頃大騒ぎになっているやもしれません","それでは、急いで相棒のところに戻ります
本隊とも合流しなければ――
今頃大騒ぎになっているやもしれません","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","21"
"0","0","――戦いは、終わったのですね
鬼神のごとき戦いぶりでした
なぜ、あなたほどの人がこんな場所へ――？","――戦いは、終わったのですね
鬼神のごとき戦いぶりでした
なぜ、あなたほどの人がこんな場所へ――？","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","22"
"0","0","――なるほど、相棒が捜しているところに
偶然通りかかられたということですか
助けに来ていただき、感謝致します","――なるほど、相棒が捜しているところに
偶然通りかかられたということですか
助けに来ていただき、感謝致します","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","23"
"0","0","しかし、情けないことにもう一歩も動けません
動けるようになるまで
ここで休ませていただきます――
相棒にもそう伝えていただけないでしょうか","しかし、情けないことにもう一歩も動けません
動けるようになるまで
ここで休ませていただきます――
相棒にもそう伝えていただけないでしょうか","ui\00_message\quest\q21014013.gmd","\quest\q21014013.arc","q21014013.arc","24"
"0","0","水林の旅人達","Water Grove Wayfarers","ui\00_message\quest_info\q21014014_00.gmd","\quest\q21014014.arc","q21014014.arc","0"
"1","1","【迅速救助クエスト】
依頼者が求める人物を捜索し
迅速に救助する","【迅速救助クエスト】
依頼者が求める人物を捜索し
迅速に救助する","ui\00_message\quest_info\q21014014_00.gmd","\quest\q21014014.arc","q21014014.arc","1"
"2","2","何者かからの、迅速な救援を求める声が
<NAME AREA>から届いているようだ","何者かからの、迅速な救援を求める声が
<NAME AREA>から届いているようだ","ui\00_message\quest_info\q21014014_00.gmd","\quest\q21014014.arc","q21014014.arc","2"
"3","3","ここの森の勇敢な戦士たちは
森の復興を願うがゆえにその強さを過信し
少しばかり焦りすぎているのではないだろうか
焦りは油断に繋がる
何事も慎重かつ注意深くいることこそ真の戦士だ","ここの森の勇敢な戦士たちは
森の復興を願うがゆえにその強さを過信し
少しばかり焦りすぎているのではないだろうか
焦りは油断に繋がる
何事も慎重かつ注意深くいることこそ真の戦士だ","ui\00_message\quest_info\q21014014_00.gmd","\quest\q21014014.arc","q21014014.arc","3"
"4","4","依頼者の求める人物を捜索する","依頼者の求める人物を捜索する","ui\00_message\quest_info\q21014014_00.gmd","\quest\q21014014.arc","q21014014.arc","4"
"5","5","魔物を迅速に討伐し捜索対象を救助する","魔物を迅速に討伐し捜索対象を救助する","ui\00_message\quest_info\q21014014_00.gmd","\quest\q21014014.arc","q21014014.arc","5"
"6","6","捜索対象の安否を確認する","Check the search target's well-being","ui\00_message\quest_info\q21014014_00.gmd","\quest\q21014014.arc","q21014014.arc","6"
"7","7","依頼者に報告する","Report to the requester","ui\00_message\quest_info\q21014014_00.gmd","\quest\q21014014.arc","q21014014.arc","7"
"0","0","救出対象が怪我を負ってしまったようだ――","救出対象が怪我を負ってしまったようだ――","ui\00_message\examine_message\quest\quest_examine_q21014014.gmd","\quest\q21014014.arc","q21014014.arc","0"
"0","0","救出対象が魔物に襲われている――急ぎ鎮圧しなければ！","救出対象が魔物に襲われている――急ぎ鎮圧しなければ！","ui\00_message\examine_message\quest\quest_examine_q21014014.gmd","\quest\q21014014.arc","q21014014.arc","1"
"0","0","あらあら――
ここは散歩するような場所じゃないの
魔物でいっぱいの危険な場所よ","あらあら――
ここは散歩するような場所じゃないの
魔物でいっぱいの危険な場所よ","ui\00_message\quest\q21014014.gmd","\quest\q21014014.arc","q21014014.arc","0"
"0","0","――あら？
あなた、結構腕が立ちそうね
じゃあ――私がこの状況を打開するのを
手伝ってくれないかしら","――あら？
あなた、結構腕が立ちそうね
じゃあ――私がこの状況を打開するのを
手伝ってくれないかしら","ui\00_message\quest\q21014014.gmd","\quest\q21014014.arc","q21014014.arc","1"
"0","0","正直、立ってるだけで精一杯なの
私が立っていられるうちに
さっさと魔物たちを蹴散らしちゃいましょう","正直、立ってるだけで精一杯なの
私が立っていられるうちに
さっさと魔物たちを蹴散らしちゃいましょう","ui\00_message\quest\q21014014.gmd","\quest\q21014014.arc","q21014014.arc","2"
"0","0","あぁ、彼女を見つけてくれたのね
なんだ、ピンピンしているの――
心配して損しちゃったかしら","あぁ、彼女を見つけてくれたのね
なんだ、ピンピンしているの――
心配して損しちゃったかしら","ui\00_message\quest\q21014014.gmd","\quest\q21014014.arc","q21014014.arc","3"
"0","0","とにかく、あなたに頼んで本当に良かったわ
やっぱり私の目に狂いはなかったわね","とにかく、あなたに頼んで本当に良かったわ
やっぱり私の目に狂いはなかったわね","ui\00_message\quest\q21014014.gmd","\quest\q21014014.arc","q21014014.arc","4"
"0","0","あぁ、彼女を見つけてくれたのね
――えぇ！　動けなくなっているの？
殺しても死ななそうな性格なのに――
なんだか、心配だわ","あぁ、彼女を見つけてくれたのね
――えぇ！　動けなくなっているの？
殺しても死ななそうな性格なのに――
なんだか、心配だわ","ui\00_message\quest\q21014014.gmd","\quest\q21014014.arc","q21014014.arc","5"
"0","0","でも、本人はすぐ戻るって言ってるのよね
そう酷い状態でもないのかしら――良かった――
命を落とさなかっただけでも幸運よね","でも、本人はすぐ戻るって言ってるのよね
そう酷い状態でもないのかしら――良かった――
命を落とさなかっただけでも幸運よね","ui\00_message\quest\q21014014.gmd","\quest\q21014014.arc","q21014014.arc","6"
"0","0","とにかく、協力してくれてありがとう
もしまた何かあったら、よろしくね","とにかく、協力してくれてありがとう
もしまた何かあったら、よろしくね","ui\00_message\quest\q21014014.gmd","\quest\q21014014.arc","q21014014.arc","7"
"0","0","あら、あなたは――
他の大陸から来たって噂の覚者さん？
ミューセルの計画に協力しているんですってね
廃村での活躍は聞いたわよ","あら、あなたは――
他の大陸から来たって噂の覚者さん？
ミューセルの計画に協力しているんですってね
廃村での活躍は聞いたわよ","ui\00_message\quest\q21014014.gmd","\quest\q21014014.arc","q21014014.arc","8"
"0","0","私も旅の途中でここに滞在していて
この森の復興に協力しているの
あなたとは同僚みたいなものね、よろしく","私も旅の途中でここに滞在していて
この森の復興に協力しているの
あなたとは同僚みたいなものね、よろしく","ui\00_message\quest\q21014014.gmd","\quest\q21014014.arc","q21014014.arc","9"
"0","0","ところで――私の仲間を見なかった？
確か、《<STG 844>》の辺りまでは
一緒だったんだけど――
もし良かったら、一緒に探してくれないかしら","ところで――私の仲間を見なかった？
確か、《<STG 844>》の辺りまでは
一緒だったんだけど――
もし良かったら、一緒に探してくれないかしら","ui\00_message\quest\q21014014.gmd","\quest\q21014014.arc","q21014014.arc","10"
"0","0","仲間を見つけたら――できるだけ早く
安全を確保してあげてほしいの
無理して怪我でもされると困るし――
成功したら、お礼はするから","仲間を見つけたら――できるだけ早く
安全を確保してあげてほしいの
無理して怪我でもされると困るし――
成功したら、お礼はするから","ui\00_message\quest\q21014014.gmd","\quest\q21014014.arc","q21014014.arc","11"
"0","0","私の仲間を一緒に探してくれないかしら
《<STG 844>》の辺りで
はぐれたと思うんだけど――
もしかしたら、中で迷っているのかも","私の仲間を一緒に探してくれないかしら
《<STG 844>》の辺りで
はぐれたと思うんだけど――
もしかしたら、中で迷っているのかも","ui\00_message\quest\q21014014.gmd","\quest\q21014014.arc","q21014014.arc","12"
"0","0","この森は入り組んでいて迷いやすいし
魔物もかなり野性的な子が多いから――
できるだけ、急いで見つけないと","この森は入り組んでいて迷いやすいし
魔物もかなり野性的な子が多いから――
できるだけ、急いで見つけないと","ui\00_message\quest\q21014014.gmd","\quest\q21014014.arc","q21014014.arc","13"
"0","0","私が魔法を紡げるうちに、片付けましょう","私が魔法を紡げるうちに、片付けましょう","ui\00_message\quest\q21014014.gmd","\quest\q21014014.arc","q21014014.arc","14"
"0","0","ふう――ちょっと疲れて来たわ
でもまだ大丈夫よ、戦える","ふう――ちょっと疲れて来たわ
でもまだ大丈夫よ、戦える","ui\00_message\quest\q21014014.gmd","\quest\q21014014.arc","q21014014.arc","15"
"0","0","あぁっ！
――ごめんなさい、もう無理かも","あぁっ！
――ごめんなさい、もう無理かも","ui\00_message\quest\q21014014.gmd","\quest\q21014014.arc","q21014014.arc","16"
"0","0","助太刀、感謝します
魔物に追いかけられ逃げていたけれど
最早ここまでと、半ば諦めかけていたの","助太刀、感謝します
魔物に追いかけられ逃げていたけれど
最早ここまでと、半ば諦めかけていたの","ui\00_message\quest\q21014014.gmd","\quest\q21014014.arc","q21014014.arc","17"
"0","0","ところで――あなたは？
え、ノーラに言われて来てくれたの？
なによ、自分で来てくれればいいのに――
よその人、しかも覚者の手を煩わせるなんて","ところで――あなたは？
え、ノーラに言われて来てくれたの？
なによ、自分で来てくれればいいのに――
よその人、しかも覚者の手を煩わせるなんて","ui\00_message\quest\q21014014.gmd","\quest\q21014014.arc","q21014014.arc","18"
"0","0","本当にありがとう、もう一人で平気よ
この恩は忘れないわ――","本当にありがとう、もう一人で平気よ
この恩は忘れないわ――","ui\00_message\quest\q21014014.gmd","\quest\q21014014.arc","q21014014.arc","19"
