Identifier,Source string,Translation,Context,Labels,Max. length
,興奮してるみてぇですね！　攻撃には注意してくださいよ！,You look excited!　Be careful of the attacks!,"
ui\00_message\pw\pwtlk07.gmd",,
,へっ、隙ありってな！,"Heh, there's a gap!","
ui\00_message\pw\pwtlk07.gmd",,
,ダウンしたぜ！　全力で行ってやりましょうや！,"We're down, man!　Let's go all out and do it!","
ui\00_message\pw\pwtlk07.gmd",,
,俺の揺さぶりに耐えられるかぁ？！,Can you stand my shaking?,"
ui\00_message\pw\pwtlk07.gmd",,
,おらよ、これで弱点が丸見えだ！,"Orayo, now you can see all the weak points!","
ui\00_message\pw\pwtlk07.gmd",,
,弱点を叩くってのはな、戦いの基本だぜ！,"Hitting the weak points is the basis of battle, you know!","
ui\00_message\pw\pwtlk07.gmd",,
,この技で支援しますぜ！　反撃しましょうや！,"I'll support you with this technique!　Let's fight back, shall we?","
ui\00_message\pw\pwtlk07.gmd",,
,あいつの能力、下げてやりますかね！,"Let's lower that guy's capacity, shall we?","
ui\00_message\pw\pwtlk07.gmd",,
,属性を付与！　これで攻撃してみてください！,Attributes!　Now you can attack with it!,"
ui\00_message\pw\pwtlk07.gmd",,
,渾身の力で――喰らわすぜ――！,I'm going to give it my all - I'm going to eat it - I'm going to eat it!,"
ui\00_message\pw\pwtlk07.gmd",,
,この技を使うときが来るとはな！　覚悟しろよ！,I never thought I'd see the time to use this technique!　Brace yourself!,"
ui\00_message\pw\pwtlk07.gmd",,
,<COL B6FF01>《特技》限界ってのを、いっちょ超えてみせますぜ！</COL>,<COL B6FF01>I'm going to push the limits of what's possible!</COL>,"
ui\00_message\pw\pwtlk07.gmd",,
,<COL B6FF01>《特技》おい――そろそろ全力でいくぜ！</COL>,<COL B6FF01>《特技》 Hey -- it's time to go all out!</COL>,"
ui\00_message\pw\pwtlk07.gmd",,
,<COL B6FF01>《特技》やってやるぜ、任せときな！</COL>,<COL B6FF01>I'll do it. I'll take care of it!</COL>,"
ui\00_message\pw\pwtlk07.gmd",,
,<COL B6FF01>《剛化》この渾身の力、受けてみやがれ！</COL>,"<COL B6FF01>The ""rigidification"" is the power of the whole body!</COL>","
ui\00_message\pw\pwtlk07.gmd",,
,<COL B6FF01>《剛化》全力でぶっ潰す！</COL>,<COL B6FF01>《Stiffen》Bust them down with all your might!</COL>,"
ui\00_message\pw\pwtlk07.gmd",,
,<COL B6FF01>《重化》さっさと倒れた方が、いっそ楽だろうに！</COL>,<COL B6FF01>It would be easier to just fall down!</COL>,"
ui\00_message\pw\pwtlk07.gmd",,
,"<COL B6FF01>《重化》調子づいてるやつから、
ぶっ飛ばしてやらぁ！</COL>","<COL B6FF01>I'm going to
blast the shit out of anyone who's getting on my nerves!</COL>","
ui\00_message\pw\pwtlk07.gmd",,
,<COL B6FF01>《癒活》立て直すぞ――癒しの加護を！</COL>,"<COL B6FF01>I'm going to rebuild the ""healing activity"" - blessings for healing!</COL>","
ui\00_message\pw\pwtlk07.gmd",,
,<COL B6FF01>《癒活》傷や疲れなんぞ、気合いでどうにかならぁ！</COL>,<COL B6FF01>I can handle my wounds and exhaustion with my willpower!</COL>,"
ui\00_message\pw\pwtlk07.gmd",,
,<COL B6FF01>《柔化》片っ端から弱らせてやりますか！</COL>,<COL B6FF01>Shall we weaken them from one side to the other?</COL>,"
ui\00_message\pw\pwtlk07.gmd",,
,<COL B6FF01>《柔化》能力を下げちまえば、怖くもねぇな</COL>,"<COL B6FF01>If you lower the ""soften"" capability, you won't even be afraid.</COL>","
ui\00_message\pw\pwtlk07.gmd",,
,<COL B6FF01>《集中》ありったけの魔力をぶち込んでやらぁ！</COL>,<COL B6FF01>Concentration: I'll put all the magic I've got into it!</COL>,"
ui\00_message\pw\pwtlk07.gmd",,
,<COL B6FF01>《集中》さーて、いっちょう集中といきますかい</COL>,"<COL B6FF01>Now, let's concentrate.</COL>","
ui\00_message\pw\pwtlk07.gmd",,
,<COL B6FF01>《無恐》テメェらの攻撃なんぞ、全部耐えてやらぁ！</COL>,<COL B6FF01>I'll endure all your attacks!</COL>,"
ui\00_message\pw\pwtlk07.gmd",,
,<COL B6FF01>《無恐》へっ――つまらねぇ攻撃なんぞ無視だ</COL>,<COL B6FF01>Ignore the boring attacks.</COL>,"
ui\00_message\pw\pwtlk07.gmd",,
,<COL B6FF01>《集視》全員、俺の獲物だぁぁ！</COL>,<COL B6FF01>All of you are my prey!</COL>,"
ui\00_message\pw\pwtlk07.gmd",,
,<COL B6FF01>《集視》死にたいやつからかかって来な</COL>,<COL B6FF01>Don't take calls from people who want to die.</COL>,"
ui\00_message\pw\pwtlk07.gmd",,
,<COL B6FF01>《守護》覚者さま、しばらくは無茶できますぜ</COL>,"<COL B6FF01>Guardian, you can be reckless for a while.</COL>","
ui\00_message\pw\pwtlk07.gmd",,
,<COL B6FF01>《守護》自分らの守り、ガッチリ固めます</COL>,<COL B6FF01>We will protect and defend ourselves.</COL>,"
ui\00_message\pw\pwtlk07.gmd",,
,<COL B6FF01>《蘇生》覚者さまの命、俺が救いますぜ！</COL>,<COL B6FF01>I will save your life!</COL>,"
ui\00_message\pw\pwtlk07.gmd",,
,覚者さま、新しい特技、閃めきましたぜ,"Dear Sensei, I've got an idea for a new skill.","
ui\00_message\pw\pwtlk07.gmd",,
,"ほーう、雇われポーンの特技――
コツはつかんだ！","Hoh, the special skills of a hired pawn--
I've got the hang of it!","
ui\00_message\pw\pwtlk07.gmd",,
,この辺、ジョブ修練敵がいやがりそうですぜ,The job training enemy is not going to like this area!,"
ui\00_message\pw\pwtlk07.gmd",,
,覚者様、修練敵がいますぜ！,"Dear savant, you have a training enemy!","
ui\00_message\pw\pwtlk07.gmd",,
,ん？　修練が終わったんじゃねぇですかい,Hmm?　I thought you finished your training.,"
ui\00_message\pw\pwtlk07.gmd",,
,"どうも近くに貴重な財宝が
眠ってる気がするんですがね","Apparently, I have a feeling there's a valuable treasure
sleeping nearby.","
ui\00_message\pw\pwtlk07.gmd",,
,"覚者さま、
ここらで宝でも探してみましょうや","Dear savant,
Let's look for some treasure around here, shall we?","
ui\00_message\pw\pwtlk07.gmd",,
,"ちょいとお待ちを――
ここら辺、何かありますぜ？","Just a minute--
What's going on around here?","
ui\00_message\pw\pwtlk07.gmd",,
,この辺り、何かあるんじゃないですかね,I think there is something going on around here.,"
ui\00_message\pw\pwtlk07.gmd",,
,"こいつは珍しいヤツだ、
ありがたくぶちのめしましょうや","This guy is a rarity.
Thankfully, we can beat him up.","
ui\00_message\pw\pwtlk07.gmd",,
,へぇ、なかなか見かけない敵だな,"Wow, that's an enemy you don't see very often.","
ui\00_message\pw\pwtlk07.gmd",,
,こいつはなんだ？　貰っておくか,What the hell is this?　I'll take that.,"
ui\00_message\pw\pwtlk07.gmd",,
,そろそろ、戦術育成の方もどうですかね？,How about some tactical training soon?,"
ui\00_message\pw\pwtlk07.gmd",,
,うちの覚者様がお世話になってるみてぇで,It's like my mentor is taking care of me.,"
ui\00_message\pw\pwtlk07.gmd",,
,"せっかくですから
ゆっくりしていってくださいよ！","Since you're here,
please take your time!","
ui\00_message\pw\pwtlk07.gmd",,
,お任せを,Leave it to me.,"
ui\00_message\pw\pwtlk07.gmd",,
,覚者様が仰るんなら,If the Master of the Learned says so.,"
ui\00_message\pw\pwtlk07.gmd",,
,こいつで治せる！,This guy can fix it!,"
ui\00_message\pw\pwtlk07.gmd",,
,おっと！,Oops!,"
ui\00_message\pw\pwtlk07.gmd",,
,外れたな,You missed.,"
ui\00_message\pw\pwtlk07.gmd",,
,こいつぁ炎に弱えぇ！,This guy is weak against fire!,"
ui\00_message\pw\pwtlk07.gmd",,
,こいつぁ氷に弱えぇ！,This guy is weak against ice!,"
ui\00_message\pw\pwtlk07.gmd",,
,こいつぁ雷に弱えぇ！,This guy is weak against lightning!,"
ui\00_message\pw\pwtlk07.gmd",,
,こいつぁ聖に弱えぇ！,This guy is weak to the Holy Spirit!,"
ui\00_message\pw\pwtlk07.gmd",,
,こいつぁ闇に弱えぇ！,This guy is weak in the dark!,"
ui\00_message\pw\pwtlk07.gmd",,
,さーて、何が出てくるかねぇ,"Well, let's see what we can come up with.","
ui\00_message\pw\pwtlk07.gmd",,
,一筋縄じゃあ、いかなさそうな場所ですね,It's not an easy place to get around.,"
ui\00_message\pw\pwtlk07.gmd",,
,"なぁ覚者様、俺を見込んで
ひとつ頼まれてくださいませんかね――
なに、悪い話じゃあありません　","Hey, Mr. Sensei, would you do me a favor
in anticipation of me--
It's not a bad idea.","
ui\00_message\pw\pwtlk07.gmd",,
,"覚者様、手に入れたこの力で、
今までよりもお力になれるはずです――
お任せくだせぇ","Mr. Sensei, with this power in your hands,
I'm sure we can help you more than ever before--
Leave it to us!","
ui\00_message\pw\pwtlk07.gmd",,
,"そろそろ出掛けますか？
俺がキッチリお支えしますぜ","You ready to get out of here?
I'll take good care of you.","
ui\00_message\pw\pwtlk07.gmd",,
,目指しましょう！　共に勝利を！！,Let's aim for it!　Together we will win!,"
ui\00_message\pw\pwtlk03.gmd",,
,最高のパートナーですね、マスター！,"You are the best partner, Master!","
ui\00_message\pw\pwtlk03.gmd",,
,なんと心強い！　負ける気がしません！,How reassuring!　I don't feel like losing!,"
ui\00_message\pw\pwtlk03.gmd",,
,共に行けること、誇りに思います！,I am proud to be able to go with you!,"
ui\00_message\pw\pwtlk03.gmd",,
,おお！　この出会いに感謝します！,Oh!　Thank you for this encounter!,"
ui\00_message\pw\pwtlk03.gmd",,
,いざ行かん、試練の旅へ！,Let's go on a journey of trials and tribulations!,"
ui\00_message\pw\pwtlk03.gmd",,
,おお！　あの方が来られたのでは？,Oh!　Isn't that gentleman here?,"
ui\00_message\pw\pwtlk03.gmd",,
,これぞ、熱意の成せる業！,This is the work of enthusiasm!,"
ui\00_message\pw\pwtlk03.gmd",,
,よしッ！　次もこの調子で！！,Good!　Keep it up next time!,"
ui\00_message\pw\pwtlk03.gmd",,
,我がマスターに栄光あれ！,Glory be to our Master!,"
ui\00_message\pw\pwtlk03.gmd",,
,くっ――この失敗は次の糧に！,Damn - this failure is for the next time!,"
ui\00_message\pw\pwtlk03.gmd",,
,努力のたまものです！,It is the result of hard work!,"
ui\00_message\pw\pwtlk03.gmd",,
,我が力、尽きること無し！,My power is never ending!,"
ui\00_message\pw\pwtlk03.gmd",,
,授かりし力、存分に奮う覚悟！,"The power that has been given to me, I am ready to exert it to the fullest!","
ui\00_message\pw\pwtlk03.gmd",,
,どんな冒険が始まるのでしょうね、マスター！,"I wonder what adventures are in store for you, Master!","
ui\00_message\pw\pwtlk03.gmd",,
,我らの行く手、さえぎるものなし！,Our path is unobstructed!,"
ui\00_message\pw\pwtlk03.gmd",,
,いた、そこか！,"There you are, there you are!","
ui\00_message\pw\pwtlk03.gmd",,
,敵発見、備えを！,"Enemy detected, be prepared!","
ui\00_message\pw\pwtlk03.gmd",,
,我がマスターの邪魔はさせるか！,I will not let you interfere with my master!,"
ui\00_message\pw\pwtlk03.gmd",,
,これは！　相手にとって不足なし！,This is!　No shortage for opponents!,"
ui\00_message\pw\pwtlk03.gmd",,
,なに、必ず勝機はあるはずです！,What? There is always a chance to win!,"
ui\00_message\pw\pwtlk03.gmd",,
,面目ありません！,No face!,"
ui\00_message\pw\pwtlk03.gmd",,
,――っ、救援を！,"--, relief!","
ui\00_message\pw\pwtlk03.gmd",,
,手を貸して下さい！,Please lend a hand!,"
ui\00_message\pw\pwtlk03.gmd",,
,む、無念――,I'm sorry...,"
ui\00_message\pw\pwtlk03.gmd",,
,し、しまった――,"Oh, shoot.","
ui\00_message\pw\pwtlk03.gmd",,
,先手必勝！,First-mover advantage!,"
ui\00_message\pw\pwtlk03.gmd",,
,蹴散らしましょう！,Let's kick it to the curb!,"
ui\00_message\pw\pwtlk03.gmd",,
,うむ、いい戦いでした！,"Mm, it was a good fight!","
ui\00_message\pw\pwtlk03.gmd",,
,ははは！　我らの勝ちです！,Ha ha!　We win!,"
ui\00_message\pw\pwtlk03.gmd",,
,我がマスターに敵はなし！！,Our Master has no enemies!,"
ui\00_message\pw\pwtlk03.gmd",,
,マスター！！　今です！,Master!　Now!,"
ui\00_message\pw\pwtlk03.gmd",,
,こんな傷など！　まだまだ余裕です,Such as these scratches!　There is still room for more!,"
ui\00_message\pw\pwtlk03.gmd",,
,これしきの傷で、引くものかっ！,I don't want to back down from a wound of this magnitude!,"
ui\00_message\pw\pwtlk03.gmd",,
,危機にこそ、チャンスがあります！,"In crisis, there is opportunity!","
ui\00_message\pw\pwtlk03.gmd",,
,ま、まだまだぁ！！,"Well, not yet!","
ui\00_message\pw\pwtlk03.gmd",,
,うおおお、持ちこたえてみせる！！,"Woohoo, I'll hold on!","
ui\00_message\pw\pwtlk03.gmd",,
,マ、マスタァアーー！！！,"Ma, mastaaaaaaaah!","
ui\00_message\pw\pwtlk03.gmd",,
,はあああああっ！,Haaaaaaah!,"
ui\00_message\pw\pwtlk03.gmd",,
,よし！　回復だ！,All right!　Recovery!,"
ui\00_message\pw\pwtlk03.gmd",,
,こっちだぁ！　臆病者ども！,This way!　Cowards!,"
ui\00_message\pw\pwtlk03.gmd",,
,何度でも助けます！,We will help you as often as we can!,"
ui\00_message\pw\pwtlk03.gmd",,
,そうはさせるか！,I won't let that happen!,"
ui\00_message\pw\pwtlk03.gmd",,
,ここで行く！,Here we go!,"
ui\00_message\pw\pwtlk03.gmd",,
,受けてみろ！,Take it!,"
ui\00_message\pw\pwtlk03.gmd",,
,我が渾身の力！,My full strength!,"
ui\00_message\pw\pwtlk03.gmd",,
,私を踏み台に！,Use me as a springboard!,"
ui\00_message\pw\pwtlk03.gmd",,
,任せて下さい！,We'll take care of it!,"
ui\00_message\pw\pwtlk03.gmd",,
,了解です！,Roger that!,"
ui\00_message\pw\pwtlk03.gmd",,
,う！　で、できません！,I can't do it!　And I can't do it!,"
ui\00_message\pw\pwtlk03.gmd",,
,おお、冒険のご準備でしょうか？,"Oh, are you preparing for an adventure?","
ui\00_message\pw\pwtlk03.gmd",,
,"ご出発はいつでしょうか？
是非、お供を！","When is your departure?
We would love to have you with us!","
ui\00_message\pw\pwtlk03.gmd",,
,マスター？もしやお疲れではありませんか？,"Master? Are you tired, sir?","
ui\00_message\pw\pwtlk03.gmd",,
,疲れを取ることも大事です！,It is also important to get rid of fatigue!,"
ui\00_message\pw\pwtlk03.gmd",,
,お休みになるのですね、マスター！よき夢を！,"You are going to have a good night's rest, Master! Sweet dreams!","
ui\00_message\pw\pwtlk03.gmd",,
,次の冒険に向けて英気を養いましょう！,Get energized for your next adventure!,"
ui\00_message\pw\pwtlk03.gmd",,
,おお、部屋の雰囲気が変わりましたね！,"Oh, the atmosphere of the room has changed!","
ui\00_message\pw\pwtlk03.gmd",,
,模様替えをすると気分転換になりますね,Redecorating is a nice change of pace.,"
ui\00_message\pw\pwtlk03.gmd",,
,マスター、エリア探索より戻りました,"Master, I have returned from an area search.","
ui\00_message\pw\pwtlk03.gmd",,
,今回のエリア探索成果――、 自信があります！,I am confident in the results of this area search!,"
ui\00_message\pw\pwtlk03.gmd",,
,ほう――ふむふむ――なるほど,Ho-hum-hum-hum--I see.,"
ui\00_message\pw\pwtlk03.gmd",,
,マスター！　庭に何かいるようですよ！,Master!　There seems to be something in the garden!,"
ui\00_message\pw\pwtlk03.gmd",,
,ははは、料理も楽しいものですね！,"Haha, cooking is fun too!","
ui\00_message\pw\pwtlk03.gmd",,
,より一層、励む次第です！,We will work even harder!,"
ui\00_message\pw\pwtlk03.gmd",,
,この武具で覚者さまの剣となり盾となり！！,"With this armor, you will become a sword and a shield of the master!","
ui\00_message\pw\pwtlk03.gmd",,
,ああ、はやくこのスキルを試したい！,"Oh, I can't wait to try this skill!","
ui\00_message\pw\pwtlk03.gmd",,
,よーし、新たな戦いをお見せいたします！,"Alright, we will show you a new battle!","
ui\00_message\pw\pwtlk03.gmd",,
,こういうゆったりした時間も良いものですね、マスター！,"This kind of relaxing time is also good, Master!","
ui\00_message\pw\pwtlk03.gmd",,
,どこにご一緒しようと、お役に立ってみせます！,"Wherever you are with us, we will be of service!","
ui\00_message\pw\pwtlk03.gmd",,
,はい、マスタ－！　私はここに！,"Yes, Master!　I am here!","
ui\00_message\pw\pwtlk03.gmd",,
,どうしました、マスター,"What is it, Master?","
ui\00_message\pw\pwtlk03.gmd",,
,いついつまでも、どこまでも、私はマスターと共に！,I will always and forever be with the Master!,"
ui\00_message\pw\pwtlk03.gmd",,
,"先日、別の覚者さまのクラフトのアシスタントをしました！
もちろん、全力で挑みましたよ！","The other day, I assisted another memorandum writer with his craft!
Of course, I gave it my best shot!","
ui\00_message\pw\pwtlk03.gmd",,
,先日、別の覚者さまに我が闘志をご評価いただきました！,"The other day, another learned person appreciated our fighting spirit!","
ui\00_message\pw\pwtlk03.gmd",,
,この前、別の覚者様に我が装備をお褒めいただきました！,"The other day, another memorandum of understanding praised our equipment!","
ui\00_message\pw\pwtlk03.gmd",,
,マスター、今日は私から戦技の提案があります！,"Master, today I have a proposal for a warfare technique!","
ui\00_message\pw\pwtlk03.gmd",,
,"マスターにお仕えしてきたおかげで
私の意思疎通力が上がりました！","Thanks to serving the Master,
my communication skills have improved!","
ui\00_message\pw\pwtlk03.gmd",,
,マスター、今日は私から髪型の提案があります！,"Master, today I have a hair style suggestion for you!","
ui\00_message\pw\pwtlk03.gmd",,
,"新しい家財を入手されたのですね！
部屋が一段と快適になりそうです！","I see that you have acquired new household goods!
It will make your room even more comfortable!","
ui\00_message\pw\pwtlk03.gmd",,
,マスター、おかえりなさいませ！,"Welcome back, Master!","
ui\00_message\pw\pwtlk03.gmd",,
,無事のご帰還何よりです、マスター！,"Glad to see you back in one piece, Master!","
ui\00_message\pw\pwtlk03.gmd",,
,お戻りになりましたか！　必ずまたお会いできると、信じていました！,I am so glad you are back!　We believed that we would definitely see you again!,"
ui\00_message\pw\pwtlk03.gmd",,
,今回の旅も、お供できて光栄でした！,It was an honor to accompany you on this trip as well!,"
ui\00_message\pw\pwtlk03.gmd",,
,帰る家があるというのは、いいものですね！,It is nice to have a home to go back to!,"
ui\00_message\pw\pwtlk03.gmd",,
,ようやく一息つけますね  お怪我はありませんか、マスター,"We can finally take a break. Are you hurt, Master?","
ui\00_message\pw\pwtlk03.gmd",,
,拠点です！ ここなら安全です！,Base! You are safe here!,"
ui\00_message\pw\pwtlk03.gmd",,
,道具や装備の点検をしておきましょう！,Check your tools and equipment!,"
ui\00_message\pw\pwtlk03.gmd",,
,マスター！　いまお助けします！,Master!　We are here to help you!,"
ui\00_message\pw\pwtlk03.gmd",,
,大丈夫ですか！いまそちらに！,Are you okay? Over there now!,"
ui\00_message\pw\pwtlk03.gmd",,
,どうされました！ しっかりと！,What's going on? Hold tight!,"
ui\00_message\pw\pwtlk03.gmd",,
,さぁ、行きましょう！,"Come on, let's go!","
ui\00_message\pw\pwtlk03.gmd",,
,ふっ、怒っているな！,"Phew, you're angry!","
ui\00_message\pw\pwtlk03.gmd",,
,敵が興奮してますね！　ご注意を！,"Your enemies are excited!　Your attention, please!","
ui\00_message\pw\pwtlk03.gmd",,
,隙あり！　この好機、逃す手はありません！,There is an opening!　There is no way to pass up this opportunity!,"
ui\00_message\pw\pwtlk03.gmd",,
,ダウンしています、全力で攻撃しましょう！,"It is down, attack with all your might!","
ui\00_message\pw\pwtlk03.gmd",,
,疲れ果てるまで揺さぶってやる！,I will rock you until you are exhausted!,"
ui\00_message\pw\pwtlk03.gmd",,
,弱点を暴き出します！　――そこだっ！,Weaknesses are uncovered!　--That's it!,"
ui\00_message\pw\pwtlk03.gmd",,
,弱点を狙う、これが戦いだっ！,"Aim for the weakest point, this is the battle!","
ui\00_message\pw\pwtlk03.gmd",,
,さぁ、攻めに出ましょう！　支援します！,"Come on, let's go on the offensive!　Support!","
ui\00_message\pw\pwtlk03.gmd",,
,敵の勢い、この技で削いでみせます！,"The momentum of the enemy, I will use this technique to reduce it!","
ui\00_message\pw\pwtlk03.gmd",,
,属性を付与します！　攻めましょう！,Attribute!　Let's attack!,"
ui\00_message\pw\pwtlk03.gmd",,
,この力――全身全霊で叩くッ！,This power - strike with all your might!,"
ui\00_message\pw\pwtlk03.gmd",,
,磨き上げたこの妙技、その身に焼き付けろ！,Burn this polished and refined technique into your body!,"
ui\00_message\pw\pwtlk03.gmd",,
,<COL B6FF01>《特技》見よ！　限界を超えた、この力っ！</COL>,<COL B6FF01>Behold!　This power beyond the limit!</COL>,"
ui\00_message\pw\pwtlk03.gmd",,
,<COL B6FF01>《特技》この奥義、刮目せよ！</COL>,"<COL B6FF01>Specialties: This is the secret of the ""scrape!</COL>","
ui\00_message\pw\pwtlk03.gmd",,
,<COL B6FF01>《特技》これぞ我が全身全霊！</COL>,<COL B6FF01>This is what I am all about!</COL>,"
ui\00_message\pw\pwtlk03.gmd",,
,<COL B6FF01>《剛化》この攻撃、どこまで耐えられるかな！</COL>,<COL B6FF01>I wonder how much longer I can withstand this attack!</COL>,"
ui\00_message\pw\pwtlk03.gmd",,
,<COL B6FF01>《剛化》力を示す！　いくぞ！</COL>,"<COL B6FF01>Showing the power of ""rigidification""!　Here we go!</COL>","
ui\00_message\pw\pwtlk03.gmd",,
,<COL B6FF01>《重化》これ以上立っていられると思うな！</COL>,<COL B6FF01>《Weighting》Don't think you can stand any longer!</COL>,"
ui\00_message\pw\pwtlk03.gmd",,
,<COL B6FF01>《重化》一気に体勢を崩してやります！</COL>,"<COL B6FF01>《Weighing,》 I will do it in one fell swoop!</COL>","
ui\00_message\pw\pwtlk03.gmd",,
,<COL B6FF01>《癒活》癒しの力で、後押しします！</COL>,<COL B6FF01>We will encourage you with the power of healing!</COL>,"
ui\00_message\pw\pwtlk03.gmd",,
,<COL B6FF01>《癒活》我々はまだ戦えるはずです！</COL>,<COL B6FF01>We should still be able to fight!</COL>,"
ui\00_message\pw\pwtlk03.gmd",,
,<COL B6FF01>《柔化》その攻め、いま鈍らせてやるぞ！</COL>,<COL B6FF01>I'm going to slow down that attack right now!</COL>,"
ui\00_message\pw\pwtlk03.gmd",,
,<COL B6FF01>《柔化》敵を弱らせて隙を作ります！</COL>,<COL B6FF01>Softening: Weakens the enemy and creates an opening!</COL>,"
ui\00_message\pw\pwtlk03.gmd",,
,<COL B6FF01>《集中》全力で集中し、詠唱します！</COL>,<COL B6FF01>《Focus》 Concentrate all your energy and chant!</COL>,"
ui\00_message\pw\pwtlk03.gmd",,
,<COL B6FF01>《集中》我が魔力よ、いまこそ力を！</COL>,"<COL B6FF01>Concentrate, my magic, now is the time for power!</COL>","
ui\00_message\pw\pwtlk03.gmd",,
,<COL B6FF01>《無恐》向かうところ敵無しッ！</COL>,"<COL B6FF01>No fear, no enemies on the way!</COL>","
ui\00_message\pw\pwtlk03.gmd",,
,<COL B6FF01>《無恐》耐えられぬ攻撃など、ないっ！</COL>,<COL B6FF01>There is no attack that cannot be withstood!</COL>,"
ui\00_message\pw\pwtlk03.gmd",,
,<COL B6FF01>《集視》まとめて受けて立つ！　かかってこい！</COL>,<COL B6FF01>We'll take it all!　Come and get me!</COL>,"
ui\00_message\pw\pwtlk03.gmd",,
,<COL B6FF01>《集視》今こそ、道を切り開く時！</COL>,<COL B6FF01>Now is the time to make way!</COL>,"
ui\00_message\pw\pwtlk03.gmd",,
,<COL B6FF01>《守護》守りを固めます、攻勢に出ましょう！</COL>,<COL B6FF01>We're going on the offensive!</COL>,"
ui\00_message\pw\pwtlk03.gmd",,
,<COL B6FF01>《守護》これぞ鋼の防御！</COL>,<COL B6FF01>This is the steel defense!</COL>,"
ui\00_message\pw\pwtlk03.gmd",,
,"<COL B6FF01>《蘇生》マスター！
さあ、お立ちください！</COL>","<COL B6FF01>Master Reanimator!
Now, please stand up!</COL>","
ui\00_message\pw\pwtlk03.gmd",,
,マスター！　とびきりの特技を閃きました！,Master!　I've just been inspired by an extraordinary special technique!,"
ui\00_message\pw\pwtlk03.gmd",,
,"なるほど！　
雇われたポーンの特技、私も覚えました！","I see!　
Hired pawn specialties, I learned them too!","
ui\00_message\pw\pwtlk03.gmd",,
,"マスター、
辺りにジョブ修練敵の気配を感じます！","Master, I sense a job training enemy around
!","
ui\00_message\pw\pwtlk03.gmd",,
,マスター、修練敵がすぐそこに！,"Master, the training enemy is right there!","
ui\00_message\pw\pwtlk03.gmd",,
,"さすがはマスター！　
ジョブ修練を達成されましたね！","You are indeed a master!　
You have achieved job mastery!","
ui\00_message\pw\pwtlk03.gmd",,
,この辺り、貴重な宝があるのでは！？,There must be some precious treasures around here!,"
ui\00_message\pw\pwtlk03.gmd",,
,"近くに希少な宝があるかもしれませんよ、
マスター","There may be a rare treasure nearby,
Master","
ui\00_message\pw\pwtlk03.gmd",,
,近くに何かありそうですよ、よく確認を！,"There may be something nearby, check often!","
ui\00_message\pw\pwtlk03.gmd",,
,"うん？　
この辺り――きっとなにかありますよ！？","What?　
Around here - there must be something!","
ui\00_message\pw\pwtlk03.gmd",,
,こいつは稀有な敵です、マスター！,"This guy is a rare adversary, Master!","
ui\00_message\pw\pwtlk03.gmd",,
,"この敵は討伐を！　
なかなか遭う敵ではありません！","This enemy must be defeated!　
It is not an enemy you will encounter often!","
ui\00_message\pw\pwtlk03.gmd",,
,アイテム発見！　拾っておきます！,Item found!　I'll pick it up!,"
ui\00_message\pw\pwtlk03.gmd",,
,"マスター、
よろしければ戦術育成をお願いします！","Master,
If you don't mind, I would appreciate tactical training!","
ui\00_message\pw\pwtlk03.gmd",,
,おお、歓迎いたします！,"Oh, welcome!","
ui\00_message\pw\pwtlk03.gmd",,
,数々の武勇伝、うかがっております！,We have heard of your many sagas!,"
ui\00_message\pw\pwtlk03.gmd",,
,なるほど！,I see!,"
ui\00_message\pw\pwtlk03.gmd",,
,では、さっそく！,"So, let's get started!","
ui\00_message\pw\pwtlk03.gmd",,
,これで、ご安心を！,Now you can rest assured!,"
ui\00_message\pw\pwtlk03.gmd",,
,見切った！,I saw through it!,"
ui\00_message\pw\pwtlk03.gmd",,
,捉えられるか！？,Can you catch it!,"
ui\00_message\pw\pwtlk03.gmd",,
,炎で攻めましょう！,Attack with fire!,"
ui\00_message\pw\pwtlk03.gmd",,
,氷で攻めましょう！,Attack with ice!,"
ui\00_message\pw\pwtlk03.gmd",,
,雷で攻めましょう！,Attack with lightning!,"
ui\00_message\pw\pwtlk03.gmd",,
,聖で攻めましょう！,Let's attack with St!,"
ui\00_message\pw\pwtlk03.gmd",,
,闇で攻めましょう！,Let's attack in the dark!,"
ui\00_message\pw\pwtlk03.gmd",,
,よきものがあるといいですね！,I hope you have a good one!,"
ui\00_message\pw\pwtlk03.gmd",,
,さぁ、未知なる島の探索を！,"Now, explore the unknown island!","
ui\00_message\pw\pwtlk03.gmd",,
,"マスター！　今後一層のお役にたてるよう
今日は折り入ってお願いがあります","Master!　I would like to make a request to you today at
so that we can be of even greater service to you in the future.","
ui\00_message\pw\pwtlk03.gmd",,
,"ああ――感謝します、マスター！
手にした力で、今まで以上に
お役に立ってみせます！","Oh--thank you, Master!
With the power in my hands, I will be more
useful to you than ever before!","
ui\00_message\pw\pwtlk03.gmd",,
,"マスター、いますぐ冒険に出ましょう！
必ずお役に立ってみせます！","Master, let's go on an adventure now!
I will surely be of help to you!","
ui\00_message\pw\pwtlk03.gmd",,
,お役に立てるかどうか――,I don't know if I can help you--,"
ui\00_message\pw\pwtlk02.gmd",,
,できたらお供を――,"If you can, I'd like to make an offering--","
ui\00_message\pw\pwtlk02.gmd",,
,ご、ご一緒できて感激です,I am thrilled to be with you!,"
ui\00_message\pw\pwtlk02.gmd",,
,自分のような者で良ければ――,If it's okay with someone like myself--,"
ui\00_message\pw\pwtlk02.gmd",,
