"Term [en]","Description [en]","Part of Speech [en]","Term [ja]","Description [ja]","Part of Speech [ja]"
"Heavy Attacks",,,大威力攻撃,,
"Decreases Stamina consumption while using Levitate.
<COL ffdc78>LV UP: Further decreases Stamina consumption.</COL>",,,"フローティング中のスタミナ消費量が軽減される
<COL ffdc78>LV UP毎にスタミナ消費がさらに減少</COL>",,
"Mushrooms - Gold",,,マッシュルームズ・ゴールド,,
"What a horrible sight.
Dark magic worked incredibly well against it,
and when it was knocked down, it was easy to slay it...",,,"見た目は何ともおぞましく
邪悪な魔法は強力だったが
叩き落としてしまえば、たやすいものだった――",,
"Aid Arrow: Blink",,,"助矢 瞬",,
"Shield Sage became Job Level 30",,,シールドセージのジョブレベルが30になった,,
"Aid Arrow: Blink LV.3",,,"助矢 瞬 LV.3",,
"Mushrooms - Purple",,,マッシュルームズ・パープル,,
"Shield Sage became Job Level 31",,,シールドセージのジョブレベルが31になった,,
"What a spacious base!
You can enter by unexpected means and routes--
There may be such hidden rooms, etc!",,,"なんて広い拠点なのでしょう！
予想もしない手段やルートで入ることができる――
そんな隠し部屋などがあるかもしれませんよ！",,
"Heavy Bow Archery",,,重装のアーチェリー,,
"Decreases attribute damage taken and debilitation build-up
for nearby allies (determined by element granted to rod).
With more than 1 Force Gauge, the duration will increase.
<COL ffdc78>LV UP: Increases duration and power of the effect.
LV.6: Increases the range of the effect.</COL>",,,"属性ダメージと異常値の軽減効果を味方に付与する
（ロッドに付与した炎・氷・雷・聖・闇のいずれか）
フォースゲージ１本以上の時、消費して時間大幅延長
<COL ffdc78>LV UP毎に持続時間延長／軽減値上昇
LV.６で効果範囲拡大</COL>",,
"Aid Arrow: Blink LV.4",,,"助矢 瞬 LV.4",,
"What a strange island!",,,何ていうか、変わった島だなぁ,,
"Mushrooms - Red",,,マッシュルームズ・レッド,,
"Decreases chance to be staggered when aiming with
the bow.
<COL ffdc78>LV UP: Further decreases stagger chance.</COL>",,,"弓構え中、攻撃を受けても
体勢を崩されにくくなる
<COL ffdc78>LV UP毎により体勢を崩されにくくなる</COL>",,
"Shield Sage became Job Level 32",,,シールドセージのジョブレベルが32になった,,
"Heavy Foot",,,厚足,,
"What a troublesome guy! How about this abnormal state?!",,,"厄介なヤツだなぁ！ この状態異常でどうだ！？",,
"Shield Sage became Job Level 33",,,シールドセージのジョブレベルが33になった,,
"Heavy Fort of Serpent Wings",,,蛇翼のヘビーフォート,,
"Aid Arrow: Blink LV.5",,,"助矢 瞬 LV.5",,
"Decreases damage from magic attacks temporarily
after reviving a party member.
<COL ffdc78>LV UP: Further extends effect duration.</COL>",,,"パーティーメンバーを助け起こすと
自身が受ける魔法攻撃ダメージが一定時間軽減される
<COL ffdc78>LV UP毎に効果持続時間がより延長</COL>",,
"Mushrooms - White",,,マッシュルームズ・ホワイト,,
"Heavy Hitter",,,猛撃士,,
"Aid Arrow: Blink LV.6",,,"助矢 瞬 LV.6",,
"Mushrooms - Yellow",,,マッシュルームズ・イエロー,,
"Shield Sage became Job Level 34",,,シールドセージのジョブレベルが34になった,,
"What an impressive figure...
My own secret hideout, I'll call it the ""Tower"".",,,"印象的なその姿――
我がアジトを『塔』と名付けよう",,
"Decreases damage received from
Demihuman enemies.
<COL ffdc78>LV UP: Decreases damage further.</COL>",,,"亜人系の敵から受けるダメージ量が減少する
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>",,
"Music 'n Goblins",,,奏魔,,
"Decreases damage received from
Fire attribute attacks.
<COL ffdc78>LV UP: Further decreases damage.</COL>",,,"炎属性魔法によって受けるダメージ量が軽減される
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>",,
"Heavy Shield",,,重盾,,
"Shield Sage became Job Level 35",,,シールドセージのジョブレベルが35になった,,
"What an intense odor.
Oh, I'm mad now! No mercy!",,,"ぷんぷん臭ってくるね
ああ、腹立つ！　許さないから！",,
"Aid Arrow: Chant",,,"助矢 詠",,
"Shield Sage became Job Level 36",,,シールドセージのジョブレベルが36になった,,
"What are we going to do next?",,,次なににする？,,
"Music Fighter",,,奏隆,,
"Heavy Shield LV.3",,,"重盾 LV.3",,
"Decreases damage received from
Ice attribute attacks.
<COL ffdc78>LV UP: Decreases damage further.</COL>",,,"氷属性魔法によって受けるダメージ量が軽減される
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>",,
"Aid Extension",,,延助,,
"Decreases damage received from
Ogre enemies.
<COL ffdc78>LV UP: Decreases damage further.</COL>",,,"鬼人系の敵から受けるダメージ量が減少する
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>",,
"Aid Mór",,,エイド・モール,,
"What are we going to do?",,,何からやろうか？,,
"Heavy Shield LV.4",,,"重盾 LV.4",,
"Shield Sage became Job Level 37",,,シールドセージのジョブレベルが37になった,,
"Music Hunter",,,奏狩,,
"What are you doing?",,,何からやっちゃう？,,
"Heavy Shield LV.5",,,"重盾 LV.5",,
"Decreases damage received from
Skeleton enemies.
<COL ffdc78>LV UP: Decreases damage further.</COL>",,,"骸骨系の敵から受けるダメージ量が減少する
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>",,
"Shield Sage became Job Level 38",,,シールドセージのジョブレベルが38になった,,
"Music May Cry",,,奏泣,,
Aidan,,,アイダン,,
"Heavy Shield LV.6",,,"重盾 LV.6",,
"Decreases damage received from
Soft enemies.
<COL ffdc78>LV UP: Decreases damage further.</COL>",,,"軟体系の敵から受けるダメージ量が減少する
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>",,
"What bothers you in battle... 
It's not something the Master needs to worry about.
So don't worry, everything will be fine.",,,"戦いで気になること、ね――
マスターが気にするほどのことじゃないわ
だから、大丈夫",,
"Aidan Part: Search Request for the Missing Aidan ",,," 【アイダン編】行方不明のアイダン捜索依頼",,
"Shield Sage became Job Level 39",,,シールドセージのジョブレベルが39になった,,
"Music Player",,,ミュージックプレイヤー,,
"Shield Sage became Job Level 40",,,シールドセージのジョブレベルが40になった,,
"What concerns you about the way of fighting?
It's something I feel deeply every time.
More and more, training is necessary - that's for sure!",,,"戦い方で気になること？
それはもう、毎度身に染みるほど感じております
もっともっと、鍛錬が必要である――と！",,
Musician,,,音楽家,,
Aidas,,,エイダス,,
"Decreases damage received from
Thunder attribute attacks.
<COL ffdc78>LV UP: Decreases damage further.</COL>",,,"雷属性魔法によって受けるダメージ量が軽減される
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>",,
"Heavy Soldier Dwarf Orc",,,重兵ドワーフオーク,,
Mustafa,,,ムスタファ,,
"Shield Sage became Job Level 41",,,シールドセージのジョブレベルが41になった,,
"What concerns you about the way of fighting?
Yes, well, actually...
No, now is not the time to talk about it.",,,"戦い方で気になること？
そう、ですね、実は――
いえ、今はまだ、お話しする時ではないでしょう",,
"Decreases damage received from
Undead enemies.
<COL ffdc78>LV UP: Decreases damage further.</COL>",,,"腐死系の敵から受けるダメージ量が減少する
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>",,
"Heavy Spaulders",,,ヘビースポウダー,,
Aide-de-camp,,,伝令士官,,
"What concerns you in battle?
Hehe, you're worried about me, Master.
Don't worry, I'm fine. Thank you.",,,"戦いで気になること？
ふふ――心配してくれているのね、マスター
大丈夫よ、ありがとう",,
"Aim debilitations at it!",,,状態異常を狙います！,,
Mutant,,,ミュータント・,,
"Shield Sage became Job Level 42",,,シールドセージのジョブレベルが42になった,,
"Decreases damage received from
Winged enemies.
<COL ffdc78>LV UP: Decreases damage further.</COL>",,,"有翼系の敵から受けるダメージ量が減少する
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>",,
"Heavy Steps",,,重歩,,
"Heavy Steps: Light",,,"重歩 軽",,
Mutant.,,,突然変異の,,
"What concerns you in battle?
I don't want to worry my Master too much, but there's something I've been thinking about...
Oh, don't worry, I won't hold back in battle.",,,"戦いで気になること？
あまり、マスターを心配させたくはないのだけど
ちょっと考えていることがあってね――
ああ大丈夫よ、戦いに手は抜かないわ",,
"Aim for its weak spot!",,,弱点を狙おう！,,
"Shield Sage became Job Level 43",,,シールドセージのジョブレベルが43になった,,
"Decreases damage received from overblocking.
<COL ffdc78>LV UP: Decreases damage further.</COL>",,,"ノーマルスキルによる防御状態で
ガード不能攻撃を受けた際のダメージが軽減される
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>",,
"Shield Sage became Job Level 44",,,シールドセージのジョブレベルが44になった,,
Mutated,,,変異,,
"Aim of Kal Tal",,,エイムオブカールタル,,
Hefina,,,ヘフィーナ,,
"What concerns you in battle?
Well, if you're aiming for greatness, there are countless things to consider. Yes.",,,"戦いで気になること？
そりゃあ、高みを目指そうとすれば
思うところはいくらでも出るもんで――",,
"Decreases damage received when staggering
after your guard is broken.
<COL ffdc78>LV UP: Decreases damage further.</COL>",,,"盾ガード時や武器ヒット時によろめいた際に
受けるダメージ量が軽減される
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>",,
"Heh!　I'm glad I could help.",,,ふふ！　お役に立てたなら何より,,
"What concerns you in battle?
Well, um... I think it's probably just me, so please don't worry, Lord Arisen!
I assure you, everything will be alright!",,,"戦いで気になること？
そうだなぁ――ううん、きっとぼくだけだと思うから
覚者さまは気にしないでください！
本当に大丈夫ですって！",,
"Decreases damage taken from Infected enemies.
<COL ffdc78>LV UP: Further decreases damage taken.</COL>",,,"侵食系の敵から受けるダメージ量が減少する
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>",,
"Mutated Bone Lump",,,変異した獣骨塊,,
"Shield Sage became Job Level 45",,,シールドセージのジョブレベルが45になった,,
"Aim to aquire 1000pt or more",,,1000pt以上の獲得を目指せ,,
"Mutated Severely Infected Griffin",,,変異型狂侵グリフィン,,
"What could be here?",,,何があるんでしょう、ここ,,
"Decreases damage taken from holy attacks.
<COL ffdc78>LV UP: Further decreases damage taken.</COL>",,,"聖属性魔法によって受けるダメージ量が軽減される
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>",,
"Shield Sage became Job Level 46",,,シールドセージのジョブレベルが46になった,,
"Aim to aquire 2000pt or more",,,2000pt以上の獲得を目指せ,,
"Heh!　Next battle, you can look forward to!",,,へっ！　次の戦闘、期待して下さいよ,,
"What do we do next?",,,次どうする？,,
"Heh. Every heroic tale starts with a small step.",,,ふふ。どんな英雄譚も小さな一歩から,,
"Shield Sage became Job Level 47",,,シールドセージのジョブレベルが47になった,,
"Decreases damage taken from humanoid-type enemies.
<COL ffdc78>LV UP: Further decreases damage taken.</COL>",,,"人間系の敵から受けるダメージ量が減少する
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>",,
"Mutation (tentative)",,,突然変異（仮）,,
"Aim to aquire 3000pt or more",,,3000pt以上の獲得を目指せ,,
"Aim to aquire 6000pt or more",,,6000pt以上の獲得を目指せ,,
"What do you care about the way we fight?
Of course, I can concentrate on the fight.
I'm not worried about it!",,,"戦い方で気になること？
も、もちろん戦いには集中できておりますから
気になることなどございませんとも！",,
"Shield Sage became Job Level 48",,,シールドセージのジョブレベルが48になった,,
"Hehe! As enemies and labyrinths, I am merely a supporting role for you, my Lord. 
Together with you, I delight in enacting a scene from a grand adventure tale—something incomparable to anything else.",,,"ふふっ！
魔物や迷宮とて、さしずめ貴方の引き立て役
貴方さまとともに、偉大な冒険譚の一幕を
演ずる喜び――何ものにも代えがたい",,
"Decreases damage taken when grabbed by enemies.
<COL ffdc78>LV UP: Further decreases damage taken.</COL>",,,"敵に拘束された状態で受けるダメージ量が軽減される
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>",,
"My Arisen
Between you and me,
I'm worried about how well you're doing in the clan.
Oh, keep this a secret!",,,"うちの覚者様なんですがね――
ここだけの話、クランで
上手くやってらっしゃるのか心配でして
あ、これは内緒ですぜ！",,
"Shield Sage became Job Level 49",,,シールドセージのジョブレベルが49になった,,
"My Character",,,自キャラのみ,,
"Aim to aquire 9000pt or more",,,9000pt以上の獲得を目指せ,,
"Hehe, hello
Thank you very much for being my master today.",,,"うふふ、こんにちは
今日もうちのマスターを、
どうぞよろしくお願いしますね",,
"Decreases damage taken while out of stamina.
<COL ffdc78>LV UP: Further decreases damage taken.</COL>",,,"スタミナ切れ時に受けるダメージ量が軽減される
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>",,
"What do you worry about in battles?
There's nothing to worry about!
Thank you for your concern!",,,"戦いで気になること？
ありませんよ！
心配してくれてありがとうございます！",,
"Hehe.
It's still a work in progress, so please don't rush me.",,,"ふふっ
まだ製作中よ、焦らせないで",,
"Aim to aquire 11000pt or more",,,11000pt以上の獲得を目指せ,,
"My Lord has told me of your war exploits.",,,我が主よりあなたの戦功を聞いている,,
"Decreases fall damage taken when falling from
high places.
<COL ffdc78>LV UP: Decreases damage further.</COL>",,,"高所からの落下ダメージが軽減される
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>",,
"What is Adventure Memo?",,,冒険手帳とは？,,
"Shield Sage became Job Level 50",,,シールドセージのジョブレベルが50になった,,
"What is it, Lord Arisen?",,,なんでしょう、覚者さま！,,
"Decreases likelihood of being
staggered while rolling.
<COL ffdc78>LV UP: Further decreases likelihood.</COL>",,,"回避行動時にダメージを受けても
体勢を崩されにくくなる
<COL ffdc78>LV UP毎により体勢を崩されにくくなる</COL>",,
"Aim to aquire 16000pt or more",,,16000pt以上の獲得を目指せ,,
"My Lord's return, we have been waiting for you.",,,我が主の帰還、お待ちしていた,,
"Shield Sage became Job Level 51",,,シールドセージのジョブレベルが51になった,,
Height,,,身長,,
"Shield Sage became Job Level 52",,,シールドセージのジョブレベルが52になった,,
"My Lord, I see that the time for your departure is near.",,,我が主よ、出立の時が近いとお見受けする,,
"Decreases likelihood of being staggered
when damaged in the air.
<COL ffdc78>LV UP: Decreases likelihood further.</COL>",,,"空中でダメージを受けても
体勢を崩されにくくなる
<COL ffdc78>LV UP毎により体勢を崩されにくくなる</COL>",,
"What is it, Master?",,,どうしました、マスター,,
"Height (cm)",,,身長（cm）,,
"Aim to aquire 22000pt or more",,,22000pt以上の獲得を目指せ,,
"Heiliger Berg",,,ハイリガーベルグ,,
"Decreases recoil after firing your bow.
<COL ffdc78>LV UP: Decreases recoil further.</COL>",,,"矢を放った後の反動を抑える
<COL ffdc78>LV UP毎に反動がさらに軽減</COL>",,
"What is it? Maybe you want to go on an adventure with me?
Well, you shouldn't follow people you don't know.
--Oh my goodness!",,,"なんですか？　もしかして、ぼくと冒険に行きたい？
うーん、知らない人について行っちゃダメだしなぁ
――なんてね！",,
"Aim to aquire 25000pt or more",,,25000pt以上の獲得を目指せ,,
"Shield Sage became Job Level 53",,,シールドセージのジョブレベルが53になった,,
"My Lord, I understand that you're busy. 
However, there's something that concerns me as your servant and I was wondering if I could ask you about it. 
If it's convenient for you, could you please ring the bell in your room whenever you have the time?",,,"覚者様、お忙しいとは思うんですがね
俺の戦い方――主人として、見てて気になること
よかったら、聞かせていただけねえかと思って――
自室のベル、いつでもいいんで鳴らしてくだせえや",,
Aiming!,,,狙います！,,
"My Lord, I would like to obtain power to meet your further expectations
Would you not promptly grant my request--?",,,"我が主よ、さらなる期待に沿えるよう、力を手に入れたい
速やかに私の願いを聞いていただけないだろうか――",,
"Shield Sage became Job Level 54",,,シールドセージのジョブレベルが54になった,,
"Decreases stamina consumption while grabbing onto
enemies.
<COL ffdc78>LV UP: Further decreases stamina consumption.</COL>",,,"しがみつき攻撃時の
スタミナ消費量が軽減される
<COL ffdc78>LV UP毎にスタミナ消費がさらに減少</COL>",,
"What is the attack/support ratio?",,,攻撃・支援の割合は？,,
"Heilung Bogen",,,ヘイルングボーゲン,,
"Decreases the Stamina consumed when
you block attacks with your shield.
<COL ffdc78>LV UP: Further decreases Stamina consumption.</COL>",,,"盾ガード時のスタミナ消費量が軽減される
<COL ffdc78>LV UP毎にスタミナ消費がさらに減少</COL>",,
"Shield Sage became Job Level 55",,,シールドセージのジョブレベルが55になった,,
"My Lord, confirming the presence of a peer.",,,我が主、同士の存在を確認,,
"What is the enemy's condition?",,,敵の状態は？,,
"Ain't Costumes for NPCs",,,NPC用アインズ衣装,,
Heinz,,,ハインツ,,
"My Lord, if you are going on an adventure, let me--
I promise to help you fight more effectively.
I promise you the right resources and the right support.",,,"我が主よ、冒険へ出るなら私を――
戦いがより冴えるよう
的確なサポートを約束する",,
"Decreases the Stamina consumed when
you grapple-hold opponents.
<COL ffdc78>LV UP: Further decreases Stamina consumption.</COL>",,,"押さえ込み時のスタミナ消費量が軽減される
<COL ffdc78>LV UP毎にスタミナ消費がさらに減少</COL>",,
"Ainz Ooal Gown",,,アインズ・ウール・ゴウン,,
"Held for a limited period of time!",,,期間限定開催！,,
"Shield Sage became Job Level 56",,,シールドセージのジョブレベルが56になった,,
"What is this--?",,,これ、なんでしょうか――,,
"Shield Sage became Job Level 57",,,シールドセージのジョブレベルが57になった,,
"Ainz Ooal Gown+",,,アインズ・ウール・ゴウン・改,,
"Decreases the amount of stamina consumed by
custom skills when you stand at death's door.
<COL ffdc78>LV UP: Further decreases stamina consumed.</COL>",,,"瀕死状態中、カスタムスキル使用時の
スタミナ消費量が軽減される
<COL ffdc78>LV UP毎にスタミナ消費がさらに減少</COL>",,
"What is this? Should I take it?",,,こいつはなんだ？　貰っておくか,,
"My Lord, my wise Lord--
You did not forget to take the results of the expedition, did you?",,,"聡明なる我が主殿――
遠征成果の取り忘れはありませんね？",,
"Held: <DATE> ～ <DATE>",,,"開催期間：<DATE> ～ <DATE>",,
"What nice family?",,,素敵な家族って？,,
"My Lord, please don't panic. The first step to explore the spot is to purchase the ""Pawn Expedition"" from the Clan Shop.",,,"我が主殿――そう慌てないで
まずはクランショップから≪ポーン遠征隊≫を
購入することが、スポットを探索するための
輝かしき第一歩なのですよ",,
Air,,,空中,,
"Shield Sage became Job Level 58",,,シールドセージのジョブレベルが58になった,,
"Decreases the attention of
enemies while using Field Shift.
<COL ffdc78>LV UP: Decreases attention further.</COL>",,,"フィールドシフト時に
敵の注目を集めにくくする
<COL ffdc78>LV UP毎に敵からの注目度がさらに減少</COL>",,
"Heliodor Earrings",,,ヘリオドールピアス,,
"Shield Sage became Job Level 59",,,シールドセージのジョブレベルが59になった,,
"What other jobs can you do?",,,他にどのジョブができますか？,,
"Air Thrust",,,エア・スラスト,,
"Helix of Time",,,時のらせん,,
"Decreases the attention of enemies while using Field Shift.
<COL ffdc78>LV UP: Decreases attention further.</COL>",,,"フィールドシフト時に
敵の注目を集めにくくする
<COL ffdc78>LV毎に敵からの注目度がさらに減少</COL>",,
"My Lord, today I have a hair style proposal for you.",,,我が主、本日は私から髪型のご提案を,,
"Hell's Banded",,,ヘルズバンデッド,,
"Decreases the chance of gathering items
breaking on use.
<COL ffdc78>LV UP: Further decreases break chance.</COL>",,,"採掘や伐採に使用するアイテムが
壊れにくくなる
<COL ffdc78>LV UP毎に壊れにくさがより上昇</COL>",,
"Shield Sage became Job Level 60",,,シールドセージのジョブレベルが60になった,,
"What weapons can you use?",,,今どんな武器を持っていますか？,,
"My Lord, today I propose a war technique.",,,我が主、本日は私から戦技をご提案する,,
Akgis,,,アクギス,,
"Hell's Keeper",,,ヘルズキーパー,,
Akim,,,アキム,,
"My Lord, will you save me――?",,,"我が、主――
私を救出に――？",,
"Decreases the chance of staggering from running
jumps.
<COL ffdc78>LV UP: Further decreases stagger chance.</COL>",,,"ダッシュジャンプの着地時に
体勢を崩しにくくなる
<COL ffdc78>LV UP毎により崩しにくくなる</COL>",,
"What would you like to appraise?",,,どれを鑑定しますか？,,
"Shield Sage became Job Level 61",,,シールドセージのジョブレベルが61になった,,
"Decreases the charge time of Guard Break,
allowing you to swing the sword more quickly.
<COL ffdc78>LV UP: Decreases charge time further.</COL>",,,"斬り崩しの予備動作が短縮され
より素早く剣を振り下ろすことができる
<COL ffdc78>LV毎に予備動作さらに短縮</COL>",,
"My Lord, 《<VAL SPOT>》's
search mission is completed and the treasure is obtained
-- minor wear and tear, but
no problems in carrying out the mission.",,,"我が主、《<VAL SPOT>》の
探索任務が完了し、宝物を入手
――軽微な消耗はあるが
任務遂行には問題無し",,
"Hell's Pain",,,ヘルズペイン,,
Alan,,,アラン,,
"Shield Sage became Job Level 62",,,シールドセージのジョブレベルが62になった,,
"What!?
The cause of the collapse wasn't a cyclops,
but rather a golem?",,,"なんと！？
崩落の原因になったのはサイクロプス
ではなくゴーレムだったとは",,
"My Lord--As per your earlier order, I have searched
<VAL SPOT>
for this treasure that I found along the way--though I paid a bit of a price
to obtain it--as an achievement. Please accept it.",,,"主殿――先のご命令通り
《<VAL SPOT>》探索を行いました
道中にて発見したこの宝物――少々入手に代償を
払いましたが――成果としてお受け取りください",,
"What!? Even if you suddenly say that--",,,え！？　急に言われても――,,
"Alas, it's bothersome in its own right.
With this, it'll be a while afore we
can continue our redevelopment.",,,"しかし、それは困ったことになりました
これでは大坑道の再開発は当分おあずけに
なってしまいますなぁ",,
"Shield Sage became Job Level 63",,,シールドセージのジョブレベルが63になった,,
Hellfang,,,ヘルファング,,
"My Lord--the Pawn is still crafting
and cannot participate in the Pawn Expedition.",,,"我が主――ポーンがいまだクラフト中にて
ポーン遠征隊の探索には参加できない",,
Albasiyyah,,,アルヴェスィヤフ,,
"What's bothering you about the battle, huh?
--No, it's nothing!
I swear!　You're a worrier, aren't you?",,,"戦いで気になること、ですかぁ
――ううん、何もないですよ！
本当ですって！　心配性だなぁ",,
Hellfire,,,業火の,,
"Decreases the damage you take from dark element
magic.
<COL ffdc78>LV UP: Further decreases damage taken.</COL>",,,"闇属性魔法によって受けるダメージ量が軽減される
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>",,
"Shield Sage became Job Level 64",,,シールドセージのジョブレベルが64になった,,
"Shield Sage became Job Level 65",,,シールドセージのジョブレベルが65になった,,
"What's going on? Hold tight!",,,"どうされました！ しっかりと！",,
"Hellfire Conqueror I",,,劫火を征す者Ⅰ,,
"Decreases the damage you take while airborne.
<COL ffdc78>LV UP: Further decreases damage taken.</COL>",,,"空中で受けたダメージ量が軽減される
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>",,
"My Lord..!
Atonement will be made at the next battle--!",,,"我が主――！
償いは、次の戦いの場で――！",,
Albe,,,アルベ,,
"What's happened?
Have you made any progress?",,,"どうなっているの？
何か進展はあったの？",,
"Decreases the difficulty of doing Chanting inputs,
making it easier to increase the magic's power.
<COL ffdc78>LV UP: Decreases difficulty further.</COL>",,,"スペリングの入力難度が低くなり
魔法効果増大が狙いやすくなる
<COL ffdc78>LV毎に難度がより低下</COL>",,
"Hellfire Conqueror II",,,劫火を征す者Ⅱ,,
"Albedo Costumes for NPCs",,,NPC用アルベド衣装,,
"Shield Sage became Job Level 66",,,シールドセージのジョブレベルが66になった,,
"My Master- Explored <VAL SPOT>,
found and obtained the treasure
--please accept it.",,,"我が主――《<VAL SPOT>》の探索中
宝物を発見し、入手した
――お受け取りを",,
"What's in store today?",,,今日は何があるんだろう,,
"My Phrase",,,マイ定型文セット,,
"Albedo's Dress",,,アルベドのドレス,,
"Hellfire Conqueror III",,,劫火を征す者Ⅲ,,
"Shield Sage became Job Level 67",,,シールドセージのジョブレベルが67になった,,
"What's this?　I'll take care of it.",,,これは？　私が預かっておきましょう,,
"Albedo's Dress+",,,アルベドのドレス・改,,
"My Phrases",,,マイ定型文,,
"Hellfire Grimoire",,,業火の魔道書,,
"Decreases the rate at which the spirit gauge drops
during boost mode.
<COL ffdc78>LV UP: Further decreases reduction rate.</COL>",,,"ブースト中のスピリットゲージ減少速度が低下する
<COL ffdc78>LV UP毎により減少速度がさらに低下</COL>",,
"Shield Sage became Job Level 68",,,シールドセージのジョブレベルが68になった,,
"Shield Sage became Job Level 69",,,シールドセージのジョブレベルが69になった,,
"What's wrong, Lord Arisen?",,,どうしました？覚者さま,,
"My Room",,,自室,,
"Albeit a bit late for an introduction,
I am Leo, leader of the Arisen.",,,"今さら自己紹介でもないが
俺は覚者の統率――まとめ役のレオだ",,
Hellhound,,,ヘルハウンド,,
"Albino Mandragora - Adult",,,アルビノマンドラゴラ・成体,,
"What's wrong?　Master--",,,どうかしました？　マスター,,
Hello,,,こんにちは,,
"Shield Sage became Job Level 70",,,シールドセージのジョブレベルが70になった,,
"Decreases the rate at which you receive
the debilitation ""Catching Fire"" when
struck by Fire attribute attacks.
<COL ffdc78>LV UP: Further increases resistance.</COL>",,,"炎属性攻撃を受けても
延焼の状態異常にかかりにくくなる
<COL ffdc78>LV UP毎に状態異常値さらに軽減</COL>",,
"Decreases the rate at which you receive
the debilitation ""Frozen Solid"" when
struck by Ice attribute attacks.
<COL ffdc78>LV UP: Increases resistance further.</COL>",,,"氷属性攻撃を受けても
凍結の状態異常にかかりにくくなる
<COL ffdc78>LV UP毎に状態異常値さらに軽減</COL>",,
"My Room Visit Setup",,,自室訪問設定,,
"Albino Mandragora - Houseplant",,,アルビノマンドラゴラ・観葉体,,
"Shield Sage became Job Level 71",,,シールドセージのジョブレベルが71になった,,
"What, are you asking about my beauty?",,,えっ、私の美しさについてですか？,,
"Hello Arisen, it is a request for subjugation
Can you defeat <LQEM> x<LQVA>?
Please show us the power of the Arisen
",,,"覚者様、討伐のご依頼です
<LQEM>を<LQVA>体倒していただけませんか
覚者様のお力をお示しください",,
"My apologies... I am unable to heal myself.",,,すまん――自力回復できん,,
"Albino Mandragora - Larva",,,アルビノマンドラゴラ・幼生体,,
"Decreases the rate at which you receive
the debilitation ""Shock"" when
struck by Thunder attribute attacks.
<COL ffdc78>LV UP: Increases resistance further.</COL>",,,"雷属性攻撃を受けても
感電の状態異常にかかりにくくなる
<COL ffdc78>LV UP毎に状態異常値さらに軽減</COL>",,
"Shield Sage became Job Level 72",,,シールドセージのジョブレベルが72になった,,
"Hello!
Are you going on another adventure today?
If so, please join me!",,,"こんにちは！
本日も冒険ですか？
でしたらぜひ、この私をお供に！",,
"What- What's happening!?",,,なっ――何ぃっ！？,,
"Shield Sage became Job Level 73",,,シールドセージのジョブレベルが73になった,,
Albion,,,アルビオン,,
"My beautiful Lord, where are you going to explore today?",,,麗しき我が主よ、本日はいずこへ探索に？,,
"Hello!
Hey, hey, let's go on an adventure!",,,"こんにちは！
ねぇねぇ、ぼくと冒険行こうよー！",,
What?,,,何ですか？,,
"Decreases the threat generation of healing
actions.
<COL ffdc78>LV UP: Further decreases threat generation.</COL>",,,"回復行動を行っても敵から注目されにくくなる
<COL ffdc78>LV UP毎に敵からの注目度さらに軽減</COL>",,
"My behavior - How does it appear in your eyes, Lord?
If it is possible, I would like to hear what you desire from your Myrmidons.
After the adventure, I'll come to your room upon hearing the sound of the bell.",,,"我が振る舞い――
主の目からは如何様に映っているだろうか
貴殿が望む戦徒の姿――可能なら伺いたい
冒険後の自室にて、呼鈴の音で馳せ参じよう",,
"Shield Sage became Job Level 74",,,シールドセージのジョブレベルが74になった,,
"Hello! I will do my best.",,,こんにちは！　一生懸命やりますね！,,
Album,,,アルバム,,
"What? There is always a chance to win!",,,なに、必ず勝機はあるはずです！,,
"Decreases the time in which you are
defenseless after your stamina is depleted.
<COL ffdc78>LV UP: Further decreases defenseless duration.</COL>",,,"スタミナ切れ時の無防備時間が短縮される
<COL ffdc78>LV UP毎に無防備時間さらに短縮</COL>",,
"Shield Sage became Job Level 75",,,シールドセージのジョブレベルが75になった,,
"My days of following the Lord have improved my
communication skills.",,,"主に従う日々により
私の意思疎通力が向上した",,
"Albus Lumen",,,アルブスルーメン,,
"Hello, Arisen
If there is anything I can do for you, please let me know.",,,"こんにちは、覚者さま
何かご用がありましたら、お申し付けください",,
"Decreases the time required to prepare your
Elixir.
<COL ffdc78>LV UP: Further decreases preparation time.</COL>",,,"エリクシル発動の予備動作が短縮される
<COL ffdc78>LV毎に予備動作さらに短縮</COL>",,
