"21787","
","
"16300","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16301","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16302","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16303","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16304","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16305","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16306","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16307","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16308","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16309","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16310","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16311","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16312","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16313","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16314","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16315","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16316","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16317","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16318","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16319","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16320","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16321","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16322","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16323","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16324","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16325","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16326","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16327","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16328","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16329","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16330","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16331","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16332","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16333","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16334","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16335","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16336","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16337","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16338","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16339","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16340","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16341","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16342","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16343","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16344","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16345","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16346","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16347","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16348","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16349","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16350","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16351","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16352","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16353","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16354","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16355","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16356","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16357","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16358","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16359","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16360","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16361","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16362","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16363","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16364","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16365","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16366","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16367","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16368","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16369","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16370","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16371","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16372","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16373","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16374","《鑑定交換》で利用できるジュエリー
ファイター用のアビリティ効果を持つ
ジュエリーになる","Jewelry that can be used for ""Appraisal Exchange"" and has augment effects for Fighters."
"16375","《鑑定交換》で利用できるジュエリー
シーカー用のアビリティ効果を持つ
ジュエリーになる","Jewelry that can be used for ""Appraisal Exchange"" and has augment effects for Seekers."
"16376","《鑑定交換》で利用できるジュエリー
ハンター用のアビリティ効果を持つ
ジュエリーになる","Jewelry that can be used for ""Appraisal Exchange"" and has augment effects for Hunters."
"16377","《鑑定交換》で利用できるジュエリー
プリースト用のアビリティ効果を持つ
ジュエリーになる","Jewelry that can be used for ""Appraisal Exchange"" and has augment effects for Priests."
"16378","《鑑定交換》で利用できるジュエリー
シールドセージ用のアビリティ効果を持つ
ジュエリーになる","Jewelry that can be used for ""Appraisal Exchange"" and has augment effects for Shield Sages."
"16379","《鑑定交換》で利用できるジュエリー
ソーサラー用のアビリティ効果を持つ
ジュエリーになる","Jewelry that can be used for ""Appraisal Exchange"" and has augment effects for Sorcerers."
"16380","《鑑定交換》で利用できるジュエリー
ウォリアー用のアビリティ効果を持つ
ジュエリーになる","Jewelry that can be used for ""Appraisal Exchange"" and has augment effects for Warriors."
"16381","《鑑定交換》で利用できるジュエリー
エレメントアーチャー用のアビリティ効果を
持つジュエリーになる","Jewelry that can be used for ""Appraisal Exchange"" and has augment effects for Element Archers."
"16392","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16393","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16394","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16395","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16396","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16397","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16398","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16399","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16400","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16401","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16402","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16403","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16404","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16405","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16406","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16407","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16408","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16409","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16410","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16411","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16412","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16413","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16414","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16415","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16416","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16417","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16418","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16419","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16420","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16421","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16422","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16423","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16424","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16425","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16426","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16427","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16428","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16429","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16430","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16431","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16432","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16433","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16434","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16435","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16436","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16522","雑多なクラフト用素材
フィンダム大陸のあちらこちらで見つかる
不思議な火種","Miscellaneous Crafting Material: 
Strange Ember found scattered throughout Phindym. 
Mysterious sparks of fire."
"16626","【炎】をかたどった刻印
武器から取り外す事はできない","Seal shaped like Fire.
Cannot be removed from the weapon."
"16627","【氷】をかたどった刻印
武器から取り外す事はできない","Seal shaped like Ice.
Cannot be removed from the weapon."
"16628","【雷】をかたどった刻印
武器から取り外す事はできない","Seal shaped like Lightning.
Cannot be removed from the weapon."
"16632","特にモチーフのない奇妙な刻印
武器から取り外す事はできない","A strange inscription with no particular motif.
Cannot be removed from the weapon."
"16698","入手機会の限られたクラフト用素材
得体の知れない漆黒の思念体","Crafting materials with limited availability
Mysterious jet-black sentient being of unknown origin"
"16699","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16700","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16701","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16702","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16703","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16704","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16705","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16706","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16707","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16708","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16709","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16710","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16711","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16712","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16713","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16714","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16715","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16716","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16720","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16721","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"16725","《鑑定交換》で利用できるジュエリー
スピリットランサー用のアビリティ効果を
持つジュエリーになる","Jewelry that can be used for ""Appraisal Exchange"" and has augment effects for Spirit Lancers."
"16744","ガライモをふんだんに練り込んだクッキー
濃厚な味わいで、食べるとスタミナが回復する ","A cookie infused with abundant Gala potato, providing a rich flavor that restores stamina when eaten. "
"16755","マンドラゴラが添えられた
チョコレートファウンテン","A Chocolate Fountain adorned with Mandragora."
"16756","マンドラゴラが添えられた
ホワイトチョコレートファウンテン","A White Chocolate Fountain with Mandragora garnish."
"16833","美しい彫刻の施された銀の宝珠
《鑑定交換》で利用できる","A beautiful silver orb adorned with exquisite sculptures.
Can be used for ""Appraisal Exchange""."
"16834","美しい彫刻の施された金の宝珠
《鑑定交換》で利用できる","A beautiful Orb adorned with intricately carved gold sculptures. Can be used for ""Appraisal Exchange""."
"16857","エレガントなクロスがかけられたダイニングテーブル
共布を張った椅子のセット","An elegant dining table adorned with a graceful cloth, Set of chairs upholstered in matching fabric."
"17059","エレガントなクロスがかけられたダイニングテーブル
共布を張った椅子のセット","An elegant dining table adorned with a graceful cloth, Set of chairs upholstered in matching fabric."
"17060","エレガントなクロスがかけられたダイニングテーブル
共布を張った椅子のセット","An elegant dining table adorned with a graceful cloth, Set of chairs upholstered in matching fabric."
"17061","エレガントなクロスがかけられたダイニングテーブル
共布を張った椅子のセット","An elegant dining table adorned with a graceful cloth, Set of chairs upholstered in matching fabric."
"17062","エレガントなクロスがかけられたダイニングテーブル
共布を張った椅子のセット","An elegant dining table adorned with a graceful cloth, Set of chairs upholstered in matching fabric."
"17063","リビングに設置できる
クロスがかかったテーブル","A table with a crossed design that can be installed in the living room."
"17064","リビングに設置できる
クロスがかかったテーブル","A table with a crossed design that can be installed in the living room."
"17065","リビングに設置できる
クロスがかかったテーブル","A table with a crossed design that can be installed in the living room."
"17066","リビングに設置できる
クロスがかかったテーブル","A table with a crossed design that can be installed in the living room."
"17067","リビングに設置できる
クロスがかかったテーブル","A table with a crossed design that can be installed in the living room."
"17069","書斎に設置できる
アンティークの机","Antique desk for study"
"17070","書斎に設置できる
アンティークの机","Antique desk for study"
"17071","書斎に設置できる
アンティークの机","Antique desk for study"
"17072","書斎に設置できる
アンティークの机","Antique desk for study"
"17073","書斎に設置できる
アンティークの机","Antique desk for study"
"17074","書斎に設置できる
アンティークの机","Antique desk for study"
"17106","薫り高く熟成したカカオ豆
刺激的な味わいで、食べると眠気覚ましになる","Exquisitely aged cocoa beans, with a tantalizing flavor that awakens the senses when consumed, banishing drowsiness."
"17145","リビングに設置できる
クラシックな置き時計","A classic clock that can be installed in the living room."
"17146","リビングに設置できる
毛織りのカーペット","A woven carpet that can be placed in the living room."
"17147","リビングに設置できる
毛織りのカーペット","A woven carpet that can be placed in the living room."
"17148","リビングに設置できる
毛織りのカーペット","A woven carpet that can be placed in the living room."
"17149","リビングに設置できる
毛織りのカーペット","A woven carpet that can be placed in the living room."
"17150","リビングに設置できる
毛織りのカーペット","A woven carpet that can be placed in the living room."
"17151","リビングに設置できる
ベーシックなカーペット","A basic carpet that can be installed in the Living Room."
"17152","ポーンに戦術を指南する時に
使う呼び鈴","When teaching tactics to Pawns, use the Summoning Bell."
"17856","液体系のクラフト用素材
石化の呪いが凝縮されたカトブレパスの涙
取扱い注意","Liquid Crafting Material:
Catoblepas's tears, condensed with the curse of petrification.
Handle with caution."
"17857","皮革系のクラフト用素材
強力なキメラ族（ＬＶ．80～）から剥いだ
上質な蛇皮","Pelt Crafting Material: High-quality Snake Skin obtained by skinning powerful Chimera species (Lv. 80 and above)."
"17858","爪牙系のクラフト用素材
強力な巨人族（ＬＶ．80～）の
黄色く濁った巨大な臼歯","Fang Crafting Material:
Yellow, cloudy giant tooth of powerful Giants (Lv. 80~)"
"17859","雑多なクラフト用素材
力あるドワーフオークであることを
たたえる魔軍の印","Miscellaneous Crafting Material:
The symbol of the Demon Army which celebrates a powerful Dwarf Orc."
"17860","歴戦のドワーフオークであることを
たたえる魔軍の印
《鑑定交換》の取引対象になるようだ","The emblem of the Demon Army that honors a High Dwarf Orc who has achieved great war merit. It seems to be a target for ""Appraisal Exchange""."
"17861","雑多なクラフト用素材
グリムゴブリンが持っていた黒く鋭い破片","Miscellaneous Crafting Material:
A black, sharp shard that the Grim Goblin was carrying."
"17863","雑多なクラフト用素材
討伐したイービルアイから摘出した
邪気を帯びて輝く組織","Miscellaneous Crafting Material:
Organ that glows with a tainted and radiant energy extracted from a defeated Evil Eye."
"17864","骨系のクラフト用素材
操骨の魔力を感じる巨大な骨","Bone Crafting Material: A giant bone that exudes the mana of bone manipulation."
"17865","角系のクラフト用素材
強力なオーガ（ＬＶ．80～）の
頭部の皮膚が硬化してできた角","Horn Crafting Material:
Horns made from the hardened skin of powerful Ogres (Level 80 and above)."
"17866","皮革系のクラフト用素材
強力なマンティコア種（ＬＶ．80～）の無毛部分の皮
人間のものに似ているが、より硬く厚い","Pelt Crafting Material: Hairless portion of the robust Manticore species (LV. 80~). 
Resembles human skin, but harder and thicker."
"17867","雑多なクラフト用素材
ゴブリンシャーマンが祈祷に使う細い杖","Miscellaneous Crafting Material:
A thin staff used by Goblin Shamans for prayers."
"17868","雑多なクラフト用素材
グレーターゴブリンが持っていた、血に汚れた壺","Miscellaneous Crafting Material:
A blood-stained jar that the Greater Goblin was carrying."
"17869","牙系のクラフト用素材
魔力を放つスケルトンワーグの牙","Fang Crafting Material:
Fang of the Magic Skeleton Warg."
"17870","皮革系のクラフト用素材
リトルクラッグ特有の、まだ加工可能な硬さのゴツゴツした皮","Pelt Crafting Material: Rough and still workable leather with a rough texture unique to Little Crag."
"17871","爪牙系のクラフト用素材
岩をも切り裂くクラッガーの鋭い爪","Fang Crafting Material:
The sharp claws of the Cragger, capable of cutting through even rock."
"17872","鉱石系のクラフト用素材
強力なリザード族（ＬＶ．80～）の
体内で長年にわたって形成された蒼石","Ore Crafting Material:
A blue stone formed within the bodies of powerful Lizards (Level 80 and above) over many years."
"17873","雑多なクラフト用素材
家に帰ろうと土を掻き、すり減った亡者の爪","Miscellaneous Crafting Material:
Scratched the ground and obtained the worn-out claws of a deceased."
"17875","追加ステータスを付加するクラフト用素材
特別な材質で作られた錬石
武器に対敵特効【竜族】を付加する","Crafting Material for adding additional stats to weapons.
A refined stone made from a special material.
Adds ""Dragonkin Slayer"" to weapons."
"17876","雑多なクラフト用素材
激しい戦いによって砕けた戦甲の残片","Miscellaneous Crafting Material: Fragments of battle armor shattered in fierce battles."
"17877","特別な材質で作られた錬石の欠片
アイテム生産で組み合わせると
追加ステータスを付加するクラフト用素材となる","Fragments of a forged stone made from a special material. 
When combined in item crafting, it becomes a crafting material that adds additional stats."
"17878","魔道書系のクラフト用素材
強力なウィッチ（ＬＶ．80～）による
呪いの言葉がしたためられた、魔力を帯びた手紙","Grimoire Crafting Material:
A letter imbued with magic, on which cursed words written by a powerful Witch (LV. 80 and above) are inscribed."
"17879","皮革系のクラフト用素材
強力な竜（ＬＶ．80～）の鱗の中で
一枚だけ逆に生えた鱗","Pelt Crafting Material:
A single scale that grew in reverse within the powerful scales of a strong dragon (LV. 80~)."
"17880","液体系のクラフト用素材
強力なスライム種（ＬＶ．80～）の粘液","Liquid Crafting Material:
Slime fluid from a powerful slime species (LV. 80~)."
"17881","宝石系のクラフト用素材
骨を核とする生体鉱物
美しい光沢をもつため、宝石として扱われる","Gem Crafting Material.
Bio-minerals with bones as their core.
They are treated as gems due to their beautiful luster."
"17882","鉱石系のクラフト用素材
もろく、細かく砕けやすい小石","Ore Crafting Material:
Fragile and easily crumbled small stones."
"17883","鉱石系のクラフト用素材
火山から吹き出たマグマが冷え固まった岩","Ore Crafting Material:
Rock formed by magma from a volcano that has cooled and solidified."
"17884","草花系のクラフト用素材
表面が白っぽく、灰をかぶったように見える草","Floral Crafting Material: Grass that appears white on the surface and looks as if it is covered in ash."
"17885","草花系のクラフト用素材
非常に燃えやすい性質を持つため、
火を発する草といわれていたこともある","Floral Crafting Material: a highly flammable substance that is often referred to as the ""fire-starting grass""."
"17886","液体系のクラフト用素材
水中微生物が多く含まれた液体","Liquid Crafting Material: A liquid that contains a large amount of aquatic microorganisms."
"17888","雑多なクラフト用素材
竜の頭が描かれたタイル片","Miscellaneous Crafting Material: Tile fragment with a dragon's head depicted."
"17889","雑多なクラフト用素材
竜の尾が描かれたタイル片","Miscellaneous Crafting Material:
Tile fragment with a dragon's tail depicted."
"17891","布系のクラフト用素材
豊穣を祈願された幅広のリボン","Cloth Crafting Material: Wide ribbon adorned with prayers for abundance."
"17892","金属系のクラフト用素材
磁気を帯び、高い耐食性を持つ金属塊","Metal Crafting Material: A metallic mass with magnetic properties and high corrosion resistance."
"17893","魔道書系のクラフト用素材
星空の印が付与されたスクロール","Grimoire Crafting Material:
Scrolls imbued with the mark of the Starry Sky."
"17894","金属系のクラフト用素材
妖しげな紫色の光沢をもつ延ばしやすい金属塊","Metal Crafting Material: A malleable metal mass with a mysterious purple shimmer."
"17897","追加ステータスを付加するクラフト用素材
特別な材質で作られた錬石
武器に吹き飛ばし力を付加する","Crafting Material for adding additional stats to weapons.
A refined stone made from a special material.
Adds blow power to weapons.."
"17898","追加ステータスを付加するクラフト用素材
特別な材質で作られた錬石
武器にチャンス攻力を付加する","Crafting Material for adding additional stats to weapons.
A refined stone made from a special material.
Adds Chance Attack to weapons."
"17899","追加ステータスを付加するクラフト用素材
特別な材質で作られた錬石
武器に気絶攻力を付加する","Crafting Material for adding additional stats to weapons:
A refined stone made from a special material.
Adds Stun Power to weapons."
"17900","追加ステータスを付加するクラフト用素材
特別な材質で作られた錬石
武器に対敵特効【獣】を付加する","Crafting Material for adding additional stats to weapons.
A refined stone made from a special material.
Adds ""Beast Slayer"" to weapons."
"17901","追加ステータスを付加するクラフト用素材
特別な材質で作られた錬石
武器に対敵特効【亜人】を付加する","Crafting Material for adding additional stats to weapons.
A refined stone made from a special material.
Adds ""Demi-human Slayer"" to weapons."
"17902","追加ステータスを付加するクラフト用素材
特別な材質で作られた錬石
武器に対敵特効【鬼人】を付加する","Crafting Material for adding additional stats to weapons.
A refined stone made from a special material.
Adds ""Demon Slayer"" to weapons."
"17903","追加ステータスを付加するクラフト用素材
特別な材質で作られた錬石
武器に対敵特効【骸骨】を付加する","Crafting Material for adding additional stats to weapons.
A refined stone made from a special material.
Adds ""Skeleton Slayer"" to weapons."
"17904","追加ステータスを付加するクラフト用素材
特別な材質で作られた錬石
武器に対敵特効【腐死】を付加する","Crafting Material for adding additional stats to weapons.
A refined stone made from a special material.
Adds ""Undead Slayer"" to weapons."
"17905","追加ステータスを付加するクラフト用素材
特別な材質で作られた錬石
武器に対敵特効【巨人】を付加する","Crafting Material for adding additional stats to weapons.
A refined stone made from a special material.
Adds ""Giants Slayer"" to weapons."
"17907","雑多なクラフト用素材
乾いて固形になった物体
何らかの実験に用いられていた形跡がある","Miscellaneous Crafting Material:
Solidified objects that have dried up.
Showing traces of being used in some kind of experiment."
"17908","雑多なクラフト用素材
何らかの実験用に加工された魔物の肉片","Miscellaneous Crafting Material: Pieces of monster meat that have been processed for some kind of experimentation."
