"19","CUSTOM_SKILL_COMMAND_03_198","セットボタンで構え後、<KC SHOOT>で発射","While holding the assigned button, <KC SHOOT> to shoot.","ui\00_message\skill\custom_skill_command_03.gmd","\skill\custom_skill_data_03.arc","custom_skill_data_03.arc","19"
"3","TUTORIAL_STEP_413","もし他のプレイヤーや、そのポーンを含んだ
パーティーを編成している場合は、ポーンの
召喚／帰還ルールが一部、ソロ時と異なります

<COL ffdc78>　　●パーティー編成後に新たにポーンを
　　　召喚できるのは、リーダーのみです
　　（パーティーが３人以下の場合のみ）</COL>

<COL ffdc78>　　●ポーンを外せるのは、そのポーンの
　　　オーナーのみです</COL>","If you are forming a party with other players and their pawns, the rules for summoning/returning pawns are different from when playing solo.

<COL ffdc78>  ●Only the leader can summon a new pawn after party formation
  (only when the party has three or fewer members)</COL>

<COL ffdc78>  ●Only the owner of the pawn can dismiss it.</COL>","ui\00_message\tutorial_guide\steps\tutorial_guide_step100.gmd","\tguide\tutorial_guide_100.arc","tutorial_guide_100.arc","3"
"4","TUTORIAL_STEP_407","最後に、パーティープレイ中にパーティー
から離脱した場合は、白竜神殿からの
再開になります

遠方へ冒険に出ている場合は注意しましょう","Finally, if you leave the party during party play, you will restart from the White Dragon Temple

Be careful if you are adventuring far away!","ui\00_message\tutorial_guide\steps\tutorial_guide_step100.gmd","\tguide\tutorial_guide_100.arc","tutorial_guide_100.arc","4"
"0","TUTORIAL_STEP_54","ジョブでの経験を積みレベルアップすることで
<COL ffdc78>《ジョブポイント》</COL>が得られます

ジョブポイントを使うことで、レベルに応じた
新たな戦技<COL ffdc78>《スキル》</COL>や<COL ffdc78>《アビリティ》</COL>
を身につけることができます","By gaining experience in your job, you can level up and earn <COL ffdc78>Job Points </COL>(JP).

You can use Job Points to acquire new <COL ffdc78>skills</COL> and <COL ffdc78>abilities</COL> corresponding to your level.","ui\00_message\tutorial_guide\steps\tutorial_guide_step102.gmd","\tguide\tutorial_guide_102.arc","tutorial_guide_102.arc","0"
"1","TUTORIAL_STEP_55","新たなスキルやアビリティは、
神殿のアーチボルトや各拠点の<COL ffdc78>《戦技補佐》</COL>に
相談し、ジョブポイントを支払って
習得・装備しましょう

レベルアップした時は、
新しく使える技がないか見に行くといいでしょう","New skills and abilities can be learned and equipped by consulting with Archibald at the temple and the <COL ffdc78>Arts Support</COL> at each Portcrystal, and paying Job Points.

When you level up, it would be a good idea to go and see if there are any new techniques that you can use.","ui\00_message\tutorial_guide\steps\tutorial_guide_step102.gmd","\tguide\tutorial_guide_102.arc","tutorial_guide_102.arc","1"
"2","TUTORIAL_STEP_397","獲得可能なスキルやアビリティは<COL ffdc78>【ＧＥＴ】</COL>と
いう緑色のアイコンが表示されます
獲得したいスキルを選択し、下に表示された
ジョブポイントを支払いましょう

<COL ffdc78>獲得したスキルは、スキルアイコンを選択し
右側のボタンに応じた《カスタムスキルセット枠》
に割り振ることで、戦闘時使えるようになります</COL>","You can obtain skills and abilities by selecting the green icon labeled <COL ffdc78>【GET】</COL> displayed. 
Choose the skill you want to acquire and pay the Job Points shown below. 

<COL ffdc78>Once you have acquired a skill, you can allocate it to the ""Custom Skill Set"" frame on the right side by selecting the skill icon and using the corresponding button. This will allow you to use the skill in combat.</COL>","ui\00_message\tutorial_guide\steps\tutorial_guide_step102.gmd","\tguide\tutorial_guide_102.arc","tutorial_guide_102.arc","2"
"3","TUTORIAL_STEP_398","獲得したアビリティは、それぞれに
必要な<COL ffdc78>《アビリティコスト》</COL>が定められています
<COL ffdc78>コスト上限以内であれば、自由な組み合わせで
ジョブに関わらずアビリティを付けられます</COL>

スキルとアビリティ次第で戦い方は
大きく変わるため、ぜひ試してみてください","The acquired <COL ffdc78>augments</COL> each have a specific <COL ffdc78>Ability Cost</COL> required.
As long as it is within the cost limit, you can freely attach augments regardless of the job.

The way you battle can greatly vary depending on your skills and augments, so please give them a try.","ui\00_message\tutorial_guide\steps\tutorial_guide_step102.gmd","\tguide\tutorial_guide_102.arc","tutorial_guide_102.arc","3"
"4","TUTORIAL_STEP_399","また、一度獲得したスキルやアビリティは
<COL ffdc78>【ＬＶ　ＵＰ】</COL>を選択しジョブポイントを
注ぐことでさらなる強化が可能です

スキルによっては威力上昇、スキの減少や
モーション変化が起こります
アビリティの場合も効果が上昇するため
戦技のレベルアップも活用しましょう","Furthermore, by selecting <COL ffdc78>[LV UP]</COL> and pouring job points into it, it is possible to further strengthen the skills and abilities that have been acquired.

Depending on the skill, there may be an increase in power, a decrease in cost, or a change in motion.

For abilities as well, the effects will improve, so let's make use of leveling up our combat techniques.","ui\00_message\tutorial_guide\steps\tutorial_guide_step102.gmd","\tguide\tutorial_guide_102.arc","tutorial_guide_102.arc","4"
"5","TUTORIAL_STEP_215","今のジョブが不向きだなと感じた場合も
アーチボルトに相談することで、
他のジョブにすぐに<COL ffdc78>《転職》</COL>できます

自分に合った戦闘スタイルを探しましょう","If you feel that your current job is unsuitable, you can consult Archibald and immediately switch to another job through a <COL ffdc78>Change Vocation</COL>.

Let's find a combat style that suits you.","ui\00_message\tutorial_guide\steps\tutorial_guide_step102.gmd","\tguide\tutorial_guide_102.arc","tutorial_guide_102.arc","5"
"0","TUTORIAL_STEP_31","<COL 78f5ff>《エクストリームミッション》が解放されました！</COL>

<COL ffdc78>《エクストリームミッション》</COL>は選ばれた
覚者のみ挑戦できる高難度コンテンツです","<COL 78f5ff>Extreme Missions unlocked!</COL>

<COL ffdc78>Extreme Missions</COL>are high-difficulty content that only chosen Arisen can challenge.","ui\00_message\tutorial_guide\steps\tutorial_guide_step107.gmd","\tguide\tutorial_guide_107.arc","tutorial_guide_107.arc","0"
"1","TUTORIAL_STEP_202","制限時間内に指定された敵を討伐できればクリアとなり
他では見られない特殊な報酬が入手できます

ただし、時間切れの場合はミッション失敗となり
報酬は一切得られません","If you can defeat the specified enemies within the time limit, you will clear the mission and receive a special reward that cannot be found elsewhere.

However, if time runs out, the mission will be considered a failure and no rewards will be obtained.","ui\00_message\tutorial_guide\steps\tutorial_guide_step107.gmd","\tguide\tutorial_guide_107.arc","tutorial_guide_107.arc","1"
"2","TUTORIAL_STEP_442","また、ミッション開始時には
《ミッション専用アイテム》が
支給されることがあります

《ミッション専用アイテム》が支給される場合
ミッション内ではそのアイテムのみが使用可能です

※それまでに持っていた消費アイテムは
　ミッション終了時にアイテムバッグに戻されます","Furthermore, at the start of the mission,
a ""Mission-exclusive item"" may be provided.
If a ""Mission-exclusive item"" is provided,
only that item can be used during the mission.

*Any consumable items held prior to this
will be returned to the Item Bag at the end of the mission.","ui\00_message\tutorial_guide\steps\tutorial_guide_step107.gmd","\tguide\tutorial_guide_107.arc","tutorial_guide_107.arc","2"
"3","TUTORIAL_STEP_30","エクストリームミッションは、
《エントリーボード》から参加申請可能です

窓口のNPCに話しかけ、
《エクストリームミッション》から参加してください

腕に覚えのある覚者は十分に装備を整えた上で挑戦し
最後に待つ強大な敵を目指しましょう","Extreme Missions are available for application from the ""Entry Board"".

Please talk to the NPC at the counter and participate in the Extreme Missions.

Skilled Arisen should challenge them fully equipped and aim for the powerful enemy that awaits at the end.","ui\00_message\tutorial_guide\steps\tutorial_guide_step107.gmd","\tguide\tutorial_guide_107.arc","tutorial_guide_107.arc","3"
"0","TUTORIAL_STEP_56","<COL 78f5ff>《竜力の継承》が解放されました！</COL>

<COL ffdc78>《ブラッドオーブ》を獲得し白竜に捧げることで
《竜力の継承》を行い、あなたはさらに成長します</COL>
上げたいカテゴリーを選び、白竜に伝えましょう

　《生命力》　…体力やスタミナなど基本能力
　《冒険力》　…アイテム所持数や資本力
　《攻力》　　…肉体面の力強さ
　《魔法力》　…魔力面の力強さ","<COL 78f5ff>The Dragon Force Augmentation has been unlocked!</COL>

<COL ffdc78>By acquiring the《Blood Orb》and offering it to the White Dragon,
you can perform the Dragon Force Augmentation and further enhance your abilities.</COL>
Choose the category you want to increase and communicate it to the White Dragon:

-《Vitality》... basic abilities such as physical strength and stamina
-《Adventuring》... item capacity and financial resources
-《Attack Power》... physical prowess
-《Magic Power》... magical strength","ui\00_message\tutorial_guide\steps\tutorial_guide_step109.gmd","\tguide\tutorial_guide_109.arc","tutorial_guide_109.arc","0"
"1","TUTORIAL_STEP_57","オーブエネミーを討伐し、たくさんの
ブラッドオーブを集めましょう

さらにメインポーンも白竜へ《ブラッドオーブ》
を捧げることで、あなた同様
各能力を向上させることができます

また、中にはジョブのレベル合計（トータルレベル）
に応じて獲得できる要素もあるため
転職も活用するとよいでしょう","Defeat the Blood Orb Enemies and collect many Blood Orbs. 

Furthermore, by offering Blood Orbs to the White Dragon, like you, your main Pawn can also improve its various abilities.

Additionally, there are elements that can be obtained based on the total level of the Jobs (Total Level), so it is recommended to make good use of job changes.","ui\00_message\tutorial_guide\steps\tutorial_guide_step109.gmd","\tguide\tutorial_guide_109.arc","tutorial_guide_109.arc","1"
"2","TUTORIAL_STEP_339","一つ覚えておくべきこととして、竜力の継承で
得た能力はすべてのジョブにおいて適用されます

ただし、《シークレットアビリティ》は
獲得だけでは効果が発揮されず
通常のアビリティ同様《戦技補佐》で
セットする必要があります","One thing to remember is that the abilities obtained through the inheritance of Dragon Force will be applied to all jobs.

However, ""Secret Augments"" do not take effect just by acquiring them. Like regular augments, they need to be set using ""Arts Support"" in order to activate their effects.","ui\00_message\tutorial_guide\steps\tutorial_guide_step109.gmd","\tguide\tutorial_guide_109.arc","tutorial_guide_109.arc","2"
"0","TUTORIAL_STEP_72","パーティープレイでは、
戦闘時に自身のジョブがどのような役割を
担っているかを把握しておくことが重要です

ジョブの役割（ジョブロール）には
<COL ffdc78>アタッカー／ヒーラー／タンク</COL>
の３種があります
期待される役割を理解し戦闘に臨みましょう","In party play, it is important to understand the role your job plays during combat.

Jobs have three roles: <COL ffdc78>Attacker, Healer, and Tank.</COL>
Let's understand the expected roles and approach combat accordingly.","ui\00_message\tutorial_guide\steps\tutorial_guide_step110.gmd","\tguide\tutorial_guide_110.arc","tutorial_guide_110.arc","0"
"1","TUTORIAL_STEP_74","＜アタッカー＞　：ファイター、ハンターなど
　　敵にダメージを与えることが主な役割です

＜ヒーラー＞　　：プリーストなど
　　仲間の回復と戦況に合わせた支援が主な役割です

＜タンク＞　　　：シールドセージなど
　　高い防御力を生かし、敵の注目と攻撃を
　　引き受けるのが主な役割です","<Attacker>：Fighter, Hunter, etc.
The main role is to inflict damage on enemies.

<Healer>：Priest, etc.
The main role is to heal fellow players and support them according to the battle situation.

<Tank>：Shield Sage, etc.
The main role is to take advantage of high defense to draw attention and attacks of enemies.","ui\00_message\tutorial_guide\steps\tutorial_guide_step110.gmd","\tguide\tutorial_guide_110.arc","tutorial_guide_110.arc","1"
"2","TUTORIAL_STEP_226","【パーティープレイ時の基本】
タンク系ジョブのメンバーを狙っている敵は、
体力ゲージに<COL ffdc78>《タンクアイコン》</COL>が表示されます

アタッカーやヒーラーは、そのアイコンを確認して
タンクを狙っている敵を攻撃したり、回復や支援を
行うことで安全な立ち回りが可能です

タンクはアトラクトなど《挑発スキル》の使用
により、敵の注目を集めることができます","【Basic During Party Play】
When enemies target tank jobs, the tank icon <COL ffdc78>《tank icon》</COL> will be displayed on their health gauge.

Attackers and healers can confirm this icon and safely engage the enemies targeting the tank, attacking or providing healing and support.

Tanks can use skills like provoke to attract enemies' attention.","ui\00_message\tutorial_guide\steps\tutorial_guide_step110.gmd","\tguide\tutorial_guide_110.arc","tutorial_guide_110.arc","2"
"3","TUTORIAL_STEP_73","敵の注目度があがる主な要因は下記です

　・敵に攻撃する、ダメージを与える
　・回復魔法を使う
　・敵との距離が近い
　・敵にしがみつく （中～大型敵）
　・挑発スキルを使う 

敵に狙われたくない時、または自分に注目度を
集めたい時は意識して立ち回りましょう","The main factors that increase the attention of enemies are as follows

- Attacking or damaging enemies
- Using recovery magic
- Being close to enemies
- Clinging to enemies (medium to large enemies)
- Using provocation skills

Be aware when you don't want enemies to target you or when you want to draw attention to yourself!","ui\00_message\tutorial_guide\steps\tutorial_guide_step110.gmd","\tguide\tutorial_guide_110.arc","tutorial_guide_110.arc","3"
"0","TUTORIAL_STEP_146","<COL ffdc78>《オートラン》</COL>は、長距離移動を
楽にするサポート機能です
遠い場所への冒険時はぜひ使ってみましょう

【<KC AUTO_RUN>】オートラン（継続走行）
　　　　　　※再度押すと解除","<COL ffdc78>《Auto-Run》</COL> is a support function that makes long-distance travel easier. When going on adventures to faraway places, be sure to give it a try.

【<KC AUTO_RUN>】Auto-Run (continuous running)
　　　　　　※Press again to deactivate.","ui\00_message\tutorial_guide\steps\tutorial_guide_step114.gmd","\tguide\tutorial_guide_114.arc","tutorial_guide_114.arc","0"
"1","TUTORIAL_STEP_278","また、パーティープレイ時には
他のパーティーメンバーに追従する
オートランの設定も可能です

　　追従したいメンバーに近づいて
　【<KC TOUCH>】でメニューから
　　<COL ffdc78>《追従オートラン》</COL>を選択
　　※ポーンには追従オートランできません","Also, during party play, it is possible to set auto-run to follow other party members.

To enable auto-run to follow the desired member, approach them and select ""Follow Auto-Run"" from the menu using the <KC TOUCH>.
Note: Pawns cannot use follow auto-run.","ui\00_message\tutorial_guide\steps\tutorial_guide_step114.gmd","\tguide\tutorial_guide_114.arc","tutorial_guide_114.arc","1"
"0","TUTORIAL_STEP_58","冒険中、あなたの体力が尽きるとその場に倒れ
<COL ffdc78>《死亡状態》</COL>になってしまいます

<COL ffdc78>パーティーに他のプレイヤーがいる場合、
《行動不能》扱いとなり一定時間内に助け起こして
もらうことでその場復帰が可能です</COL>

同様に、あなたも体力の尽きた仲間がいる時は
接近して【<KC TOUCH>】を押せば
覚者やポーンを助けることができます","During an adventure, if your Health runs out, you will collapse on the spot and enter a <COL ffdc78>《dead state》</COL>.

If there are other players in your party, you will be considered <COL ffdc78>incapacitated</COL> and can be revived on the spot within a certain amount of time with their help.

Likewise, when your fellow allies run out of Health, you can approach them and press the <KC TOUCH> button to assist the Arisen or Pawn.","ui\00_message\tutorial_guide\steps\tutorial_guide_step115.gmd","\tguide\tutorial_guide_115.arc","tutorial_guide_115.arc","0"
"1","TUTORIAL_STEP_59","しかし、<COL ffdc78>他のプレイヤーがいない時や一定時間を
超えてしまった場合は、３つの復活手段から
どれかを選び復活</COL>することになります

　《復活力》を使う　…体力全快でその場復活
　《黄金石》を使う　…体力全快、【強化】状態で
　　　　　　　　　　　その場復活
　　拠点に戻る　　　…【弱化】状態となり
　　　　　　　　　　　直前の拠点で復活","However, when there are no other players present or when a certain amount of time has passed, you will have to choose one of the three revival methods and revive.

Using ""Revival Force""... Full health revival on the spot.

Using a ""Golden Gemstone""... Full health revival, in a ""Strengthened"" state.

Returning to the base... Becoming a ""Weakened"" state and reviving at the previous base.","ui\00_message\tutorial_guide\steps\tutorial_guide_step115.gmd","\tguide\tutorial_guide_115.arc","tutorial_guide_115.arc","1"
"2","TUTORIAL_STEP_216","《復活力》、《黄金石》が無くなってしまうと
その場復帰ができません

「拠点に戻る」で復活できますが、
<COL ffdc78>状態異常【弱化】により、基本能力が
一定時間通常より低くなってしまいます</COL>

《復活力》や《黄金石》の残量には
常に気を配りましょう","If the 《Revival Force》 and 《Golden Gemstone》 are depleted,
you will not be able to revive on the spot.

You can revive by choosing ""Return to Base"", but due to the <COL ffdc78>debuff of Weakened</COL>, your basic abilities will be lower than usual for a certain period of time.

Always keep an eye on the remaining amount of 《Revival Force》 and 《Golden Gemstone》.","ui\00_message\tutorial_guide\steps\tutorial_guide_step115.gmd","\tguide\tutorial_guide_115.arc","tutorial_guide_115.arc","2"
"0","TUTORIAL_STEP_107","<COL 78f5ff>《ジョブマスター》修練が可能になりました！</COL>

<COL ffdc78>《ジョブマスター》</COL>とは、ジョブの基礎を
修めた者に、より高レベルのスキルやアビリティを
教えてくれる各ジョブのエキスパートです

<COL ffdc78>レベル１８に達したなら神殿《宿場区》の
レンテンを訪れましょう
彼が訓練官としてあなたを紹介してくれるでしょう</COL>","<COL 78f5ff>Job Master Training is now available!</COL>

A ""Job Master"" is an expert of each job who can teach advanced skills and abilities to those who have mastered the basics of the job.

If you have reached Level 18, visit Renton in the Temple District. He will introduce you as a trainer who will help you with your training.","ui\00_message\tutorial_guide\steps\tutorial_guide_step118.gmd","\tguide\tutorial_guide_118.arc","tutorial_guide_118.arc","0"
"1","TUTORIAL_STEP_106","ジョブマスターは《ジョブ修練》を達成
することで、課題に対応する戦技の
レベル上限をさらに引き上げてくれます

※レベル上限は戦技によって異なります

特に、カスタムスキルはレベル６に
強化することで性能や攻撃回数などが
大幅に強化されるようになります","Job Masters will raise the level cap of combat skills that correspond to the challenges by achieving ""Job Training"". 
※ The level cap varies depending on the combat skill.

Custom Skills, in particular, will be greatly enhanced in terms of performance and number of attacks when strengthened to level 6.","ui\00_message\tutorial_guide\steps\tutorial_guide_step118.gmd","\tguide\tutorial_guide_118.arc","tutorial_guide_118.arc","1"
"2","TUTORIAL_STEP_489","<COL ffdc78>さらに、世界には神殿に伝えられていない
ジョブも存在するようです</COL>

ジョブマスターとの出会いが、新たなジョブ
への入門になることもあるでしょう","<COL ffdc78>Furthermore, it seems that there are jobs in the world that have not been passed down to the Temple. </COL>

Meeting a Job Master can also serve as an introduction to a new job.","ui\00_message\tutorial_guide\steps\tutorial_guide_step118.gmd","\tguide\tutorial_guide_118.arc","tutorial_guide_118.arc","2"
"0","TUTORIAL_STEP_93","<COL ffdc78>各地の拠点には瞬間移動《リム転移》に
使える《拠点の礎》が存在します</COL>

瞬時に目的の拠点に到着できるため、
よく利用する拠点は<COL ffdc78>《マイ拠点》</COL>に登録し
探索範囲を広げましょう","<COL ffdc78>At various bases around the world, there are ""Portcrystals"" that can be used for instant teleportation. </COL>
Register frequently used bases as <COL ffdc78>""My Portcrystals""</COL> to expand your exploration range.","ui\00_message\tutorial_guide\steps\tutorial_guide_step119.gmd","\tguide\tutorial_guide_119.arc","tutorial_guide_119.arc","0"
"0","TUTORIAL_STEP_96","世界は大きく地域別にエリア区分されています

エリアにはそれぞれ《ハイデル平原》、
《ブリア海岸》、《ミスリウ森林》などの
名前がついています

目的地や現在地がどのエリアか【<KC UI_GAME_MENU>】
ゲームメニュー《ワールド》の<COL ffdc78>《マップ》</COL>で
確認するクセをつけるといいでしょう","The world is divided into different areas:

Each area is named, such as ""Hidell Plains,"" ""Breya Coast,"" and ""Mysree Forest.""

To find out which area your destination or current location is in, it's a good idea to develop a habit of checking the ""Map"" in the game menu called ""World"" (Game menu: <KC UI_GAME_MENU>) (Map: <COL ffdc78>""World""</COL>).","ui\00_message\tutorial_guide\steps\tutorial_guide_step121.gmd","\tguide\tutorial_guide_121.arc","tutorial_guide_121.arc","0"
"1","TUTORIAL_STEP_95","また、エリアごとに受注できるクエストや
店舗の品ぞろえ、発見できるアイテムや
魔物が異なり、冒険難度も違います

エリアの特色を把握することで
冒険を有利にすすめられます","Furthermore, there are quests that can be undertaken in each area, as well as a variety of items available in the shops and different enemies and levels of difficulty. 
By understanding the unique characteristics of each area, you can progress in your adventure more advantageously.","ui\00_message\tutorial_guide\steps\tutorial_guide_step121.gmd","\tguide\tutorial_guide_121.arc","tutorial_guide_121.arc","1"
"0","TUTORIAL_STEP_192","《ブラッドオーブ》は、白竜以外にも
ポーン郷のアルヴァーなど、貴重アイテムと
交換してくれる者がいます

彼らとのブラッドオーブの取引では
クレストやレア素材などが得られます
機会があれば訪ねてみましょう","《Blood Orb》 can be exchanged for valuable items, such as the Crest and rare materials, by individuals such as Alvar from the Pawn Cathedral, aside from the White Dragon. 

If you have the opportunity, you should pay them a visit and engage in a trade.","ui\00_message\tutorial_guide\steps\tutorial_guide_step122.gmd","\tguide\tutorial_guide_122.arc","tutorial_guide_122.arc","0"
"0","TUTORIAL_STEP_109","<COL 78f5ff>《エリアマスター》情報が解放されました！</COL>

<COL ffdc78>《エリアマスター》</COL>とは、地域の事情に
精通した人物です

各エリアに１人ずつ存在し、その地域の
クエストや注意すべき魔物の存在、冒険スポット
についての情報を与えてくれます","<COL 78f5ff>""Area Master"" information has been unlocked!</COL>

An <COL ffdc78>""Area Master""</COL> is someone who is well-versed in the local situation.

There is one person in each area who can provide information about quests, notable enemies to watch out for, and adventure spots in that region.","ui\00_message\tutorial_guide\steps\tutorial_guide_step123.gmd","\tguide\tutorial_guide_123.arc","tutorial_guide_123.arc","0"
"1","TUTORIAL_STEP_108","彼らと交流し地域のクエストに
取り組むことで、エリアにさまざまな変化が
起こるほか、訪れた覚者への支援品を
受け取ることもできます

<COL ffdc78>エリアを探索する際は、まず彼らの元へ
立ち寄るといいでしょう</COL>","By interacting with them and engaging in local quests, various changes can occur in the area. Additionally, you can also receive support items.

<COL ffdc78>When exploring the area, it is advisable to first visit them.</COL>","ui\00_message\tutorial_guide\steps\tutorial_guide_step123.gmd","\tguide\tutorial_guide_123.arc","tutorial_guide_123.arc","1"
"0","TUTORIAL_STEP_62","<COL ffdc78>《メインポーン》は覚者であるあなた同様、
ともに冒険し経験を積むことで成長します</COL>

<COL ffdc78>《クラフト》</COL>を行うことで
アイテム作成能力も成長していきます

戦技の習得や転職も可能ですので、
あなたの目的に合った役割を与えましょう","<COL ffdc78>The ""Main Pawn"" will grow by adventuring and gaining experience, just like you, an ""Arisen"".</COL>

By <COL ffdc78>""Crafting""</COL>, your item creation abilities will also grow.

You can also learn combat skills and change vocations, so let's assign you a role that suits your goals.","ui\00_message\tutorial_guide\steps\tutorial_guide_step124.gmd","\tguide\tutorial_guide_124.arc","tutorial_guide_124.arc","0"
"0","TUTORIAL_STEP_64","<COL 78f5ff>《ポーン》契約／雇用が解放されました！</COL>

<COL ffdc78>《ポーン》</COL>とは、覚者であるあなたの
忠実な従者であり、異界から現れた
人ならざる存在です

メインポーンは、ゲームメニュー《パーティー》の
<COL ffdc78>《パーティー管理》</COL>、<COL ffdc78>《メインポーン》</COL>から
呼び出せます","<COL 78f5ff>《Pawn》 contract/employment has been unlocked!</COL>

<COL ffdc78>《Pawn》</COL> is a loyal servant of yours who is also an otherworldly being, not a human being.

Main Pawns can be summoned from the <COL ffdc78>Party Management</COL> option in the game menu Party, <COL ffdc78>Main Pawn</COL>.","ui\00_message\tutorial_guide\steps\tutorial_guide_step125.gmd","\tguide\tutorial_guide_125.arc","tutorial_guide_125.arc","0"
"1","TUTORIAL_STEP_63","ポーン達は冒険のなかで自律的に行動しますが
覚者が命令を与えれば、実行可能な時は
優先的に遂行します

<COL ffdc78>また、ポーンがいればクラフトによる
アイテムの作成、強化が可能です</COL>

ポーン達は常に寄りそう冒険パートナーとして、
いつでもあなたの力となってくれるでしょう","Pawns will act autonomously during the adventure, but when commanded by the Arisen, they will prioritize carrying out the command.

<COL ffdc78>Additionally, with Pawns, crafting and enhancing items is possible.</COL>

The Pawns will always be there as reliable adventure partners,
ready to assist you whenever you need their strength.","ui\00_message\tutorial_guide\steps\tutorial_guide_step125.gmd","\tguide\tutorial_guide_125.arc","tutorial_guide_125.arc","1"
"0","TUTORIAL_STEP_65","ポーンには大きく分けて２種あります
<COL ffdc78>あなたが契約を結んだ《メインポーン》と、
他の覚者から雇用できる《サポートポーン》です</COL>

ポーンをパーティーメンバーに
迎えたい場合は、<COL ffdc78>《リムストーン》や
ゲームメニュー《パーティー管理》から
呼び出せます</COL>","There are two main types of pawns:
<COL ffdc78>the ""Main Pawn"" that you sign a contract with, and the ""support pawns"" that you can hire from other Arisen players.</COL>

If you want to welcome a pawn to your party, you can call them from<COL ffdc78>""Riftstone"" or the game menu ""Party Management"".</COL>","ui\00_message\tutorial_guide\steps\tutorial_guide_step126.gmd","\tguide\tutorial_guide_126.arc","tutorial_guide_126.arc","0"
"1","TUTORIAL_STEP_302","《メインポーン》は、神殿やリムストーンの
あるエリアならいつでも呼べば応じてくれます

<COL ffdc78>しかし、クラフトをすでに命じている時や
戦闘中死亡して《ロスト状態》になると
パーティーメンバーとして呼び出せません</COL>

メインポーンの状態には注意しましょう","""Main Pawn"" will always respond when called in an area with temples or riftstones.

<COL ffdc78>However, if you have already commanded them to craft or if they die during combat and enter a ""Lost State,"" you cannot summon them as party members.</COL>

Pay attention to the state of your Main Pawn.","ui\00_message\tutorial_guide\steps\tutorial_guide_step126.gmd","\tguide\tutorial_guide_126.arc","tutorial_guide_126.arc","1"
"2","TUTORIAL_STEP_221","<COL ffdc78>《サポートポーン》の雇用には
リムを支払う必要があります</COL>
その代わり、レベルやジョブ、クラフト技能など
条件検索することでニーズに合ったポーンを
呼ぶことができます

<COL ffdc78>また、一定時間外へ冒険に連れていくことで
《冒険回数》が減り、クラフトを１回させることで
《クラフト回数》が減少します</COL>
残り回数が０になったら返却し、雇い直しましょう","<COL ffdc78>To hire a support pawn, you need to pay Rift Crystals. </COL>
However, you can search for pawns that meet your needs based on their level, job, crafting skills, and other conditions. 

<COL ffdc78>Additionally, taking a support pawn on adventures outside for a certain period of time will reduce their 'Adventure Count,' and allowing them to craft once will decrease their 'Craft Count.' </COL>
When the remaining counts reach zero, return them and hire again.","ui\00_message\tutorial_guide\steps\tutorial_guide_step126.gmd","\tguide\tutorial_guide_126.arc","tutorial_guide_126.arc","2"
"3","TUTORIAL_STEP_419","さらにサポートポーンを返却すると
<COL ffdc78>《レンタルポイント》</COL>が獲得できます

レンタルポイントはジョブポイントとして
メインポーンに割り振り還元することができます

サポートポーンをより多く雇用して
メインポーンの成長を促進させましょう","Furthermore, by returning support pawns,
you can acquire <COL ffdc78>Rental Points</COL>. 

Rental Points can be allocated and returned to the main pawn as Job Points. 

By hiring more support pawns, 
let's encourage the growth of the main pawn.","ui\00_message\tutorial_guide\steps\tutorial_guide_step126.gmd","\tguide\tutorial_guide_126.arc","tutorial_guide_126.arc","3"
"4","TUTORIAL_STEP_222","<COL ffdc78>また、メインポーンがロストしていたり
クラフト中でパーティーにいない場合は
サポートポーンをパーティーに入れることが
できないため、注意しましょう</COL>

フレンド覚者のポーン、旅先で出会ったポーンを
検索で探してみるのもよいでしょう
なお、他人のパーティーに所属している
ポーンの姿は見えません","<COL ffdc78>Also, if your main pawn is lost or not in the party while crafting, you cannot include a support pawn in the party, so please be careful.</COL>

It is also a good idea to search for friend's pawns or pawns encountered during your journey. Note that you cannot see the appearance of pawns belonging to other people's parties.","ui\00_message\tutorial_guide\steps\tutorial_guide_step126.gmd","\tguide\tutorial_guide_126.arc","tutorial_guide_126.arc","4"
"0","TUTORIAL_STEP_67","ポーンはダメージを受け、体力が尽きると
《行動不能》となり、さらに一定時間経過すると
あなた同様《死亡状態》になってしまいます

<COL ffdc78>行動不能になったポーンは
一定時間内に覚者が接近して【<KC TOUCH>】で
助け起こすことでその場復活します</COL>","When a Pawn takes damage and runs out of health, they become ""incapacitated"" and after a certain amount of time, they will end up in a state of ""death"" just like you.

<COL ffdc78>When a Pawn becomes incapacitated, if an Arisen approaches within a certain amount of time, they can revive them on the spot using the <KC TOUCH> command.</COL>","ui\00_message\tutorial_guide\steps\tutorial_guide_step128.gmd","\tguide\tutorial_guide_128.arc","tutorial_guide_128.arc","0"
"1","TUTORIAL_STEP_66","<COL ffdc78>一定時間内に助け起こせなかった場合も、
雇い主の覚者が倒れたポーンに触れ《復活力》か
《黄金石》を与えることで、復活させられます</COL>

　自身の《復活力》を与える
　　　　　…体力全快でその場復活

　自身の《黄金石》を与える
　　　　　…体力全快、【強化】状態でその場復活","<COL ffdc78>If assistance cannot be provided within a certain period of time, the Arisen employer can revive the fallen Pawn by touching them and providing either their own Revival Force or a Golden Gemstone. </COL>

- Giving one's own Revival Force: Fully restores health and revives on the spot.
- Giving one's own Golden Gemstone: Fully restores health and revives on the spot in a strengthened state.","ui\00_message\tutorial_guide\steps\tutorial_guide_step128.gmd","\tguide\tutorial_guide_128.arc","tutorial_guide_128.arc","1"
